timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T19:36:56.544860,ML-KEM-512,1,1412,86,0:00.15,0.12,0.0
2026-04-17T19:36:56.685531,ML-KEM-512,2,1424,99,0:00.13,0.13,0.0
2026-04-17T19:36:56.820252,ML-KEM-512,3,1488,100,0:00.13,0.12,0.0
2026-04-17T19:36:56.954801,ML-KEM-512,4,1488,98,0:00.13,0.12,0.0
2026-04-17T19:36:57.088708,ML-KEM-512,5,1408,99,0:00.13,0.12,0.0
2026-04-17T19:36:57.223880,ML-KEM-512,6,1488,100,0:00.13,0.13,0.0
2026-04-17T19:36:57.357712,ML-KEM-512,7,1488,99,0:00.13,0.11,0.01
2026-04-17T19:36:57.492635,ML-KEM-512,8,1488,99,0:00.13,0.12,0.0
2026-04-17T19:36:57.626545,ML-KEM-512,9,1424,99,0:00.13,0.12,0.0
2026-04-17T19:36:57.760417,ML-KEM-512,10,1488,100,0:00.13,0.13,0.0
2026-04-17T19:36:57.894259,ML-KEM-512,11,1408,99,0:00.13,0.12,0.0
2026-04-17T19:36:58.028819,ML-KEM-512,12,1424,99,0:00.13,0.13,0.0
2026-04-17T19:36:58.162748,ML-KEM-512,13,1424,99,0:00.13,0.12,0.0
2026-04-17T19:36:58.296999,ML-KEM-512,14,1484,99,0:00.13,0.12,0.0
2026-04-17T19:36:58.430761,ML-KEM-512,15,1488,99,0:00.13,0.12,0.0
2026-04-17T19:36:58.565088,ML-KEM-512,16,1488,100,0:00.13,0.13,0.0
2026-04-17T19:36:58.699518,ML-KEM-512,17,1488,99,0:00.13,0.12,0.0
2026-04-17T19:36:58.833842,ML-KEM-512,18,1488,99,0:00.13,0.12,0.0
2026-04-17T19:36:58.967772,ML-KEM-512,19,1424,100,0:00.13,0.13,0.0
2026-04-17T19:36:59.102028,ML-KEM-512,20,1424,100,0:00.13,0.13,0.0
2026-04-17T19:36:59.235918,ML-KEM-512,21,1416,100,0:00.13,0.12,0.0
2026-04-17T19:36:59.370024,ML-KEM-512,22,1488,99,0:00.13,0.12,0.0
2026-04-17T19:36:59.503687,ML-KEM-512,23,1488,99,0:00.13,0.12,0.0
2026-04-17T19:36:59.638237,ML-KEM-512,24,1424,99,0:00.13,0.13,0.0
2026-04-17T19:36:59.772906,ML-KEM-512,25,1416,100,0:00.13,0.12,0.0
2026-04-17T19:36:59.906813,ML-KEM-512,26,1424,99,0:00.13,0.12,0.0
2026-04-17T19:37:00.041409,ML-KEM-512,27,1488,100,0:00.13,0.12,0.0
2026-04-17T19:37:00.175637,ML-KEM-512,28,1424,100,0:00.13,0.13,0.0
2026-04-17T19:37:00.309439,ML-KEM-512,29,1416,99,0:00.13,0.12,0.0
2026-04-17T19:37:00.444984,ML-KEM-512,30,1412,99,0:00.13,0.12,0.01
2026-04-17T19:37:00.658035,ML-KEM-768,1,1616,100,0:00.21,0.21,0.0
2026-04-17T19:37:00.869746,ML-KEM-768,2,1672,99,0:00.20,0.2,0.0
2026-04-17T19:37:01.081982,ML-KEM-768,3,1680,99,0:00.20,0.2,0.0
2026-04-17T19:37:01.292692,ML-KEM-768,4,1680,100,0:00.20,0.2,0.0
2026-04-17T19:37:01.549630,ML-KEM-768,5,1616,99,0:00.25,0.25,0.0
2026-04-17T19:37:01.762890,ML-KEM-768,6,1680,99,0:00.21,0.2,0.0
2026-04-17T19:37:01.975752,ML-KEM-768,7,1616,100,0:00.21,0.21,0.0
2026-04-17T19:37:02.188304,ML-KEM-768,8,1616,99,0:00.21,0.2,0.0
