timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T21:09:04.469351,ML-DSA-44,1,1416,99,0:01.34,1.33,0.0
2026-04-17T21:09:05.847664,ML-DSA-44,2,1428,99,0:01.37,1.37,0.0
2026-04-17T21:09:07.232916,ML-DSA-44,3,1428,99,0:01.38,1.37,0.0
2026-04-17T21:09:08.593442,ML-DSA-44,4,1428,99,0:01.35,1.35,0.0
2026-04-17T21:09:09.947424,ML-DSA-44,5,1428,99,0:01.35,1.34,0.0
2026-04-17T21:09:11.295884,ML-DSA-44,6,1428,100,0:01.34,1.34,0.0
2026-04-17T21:09:12.659675,ML-DSA-44,7,1428,100,0:01.36,1.36,0.0
2026-04-17T21:09:14.041863,ML-DSA-44,8,1428,99,0:01.37,1.37,0.0
2026-04-17T21:09:15.437864,ML-DSA-44,9,1428,100,0:01.39,1.39,0.0
2026-04-17T21:09:16.819115,ML-DSA-44,10,1428,99,0:01.37,1.37,0.0
2026-04-17T21:09:18.165015,ML-DSA-44,11,1428,100,0:01.34,1.34,0.0
2026-04-17T21:09:19.557882,ML-DSA-44,12,1428,100,0:01.39,1.39,0.0
2026-04-17T21:09:20.911930,ML-DSA-44,13,1428,99,0:01.35,1.33,0.01
2026-04-17T21:09:22.260795,ML-DSA-44,14,1412,99,0:01.34,1.33,0.0
2026-04-17T21:09:23.629880,ML-DSA-44,15,1428,99,0:01.36,1.35,0.0
2026-04-17T21:09:24.984983,ML-DSA-44,16,1420,100,0:01.35,1.34,0.0
2026-04-17T21:09:26.347800,ML-DSA-44,17,1428,99,0:01.36,1.35,0.0
2026-04-17T21:09:27.720029,ML-DSA-44,18,1416,100,0:01.36,1.36,0.0
2026-04-17T21:09:29.099165,ML-DSA-44,19,1428,100,0:01.37,1.36,0.0
2026-04-17T21:09:30.458507,ML-DSA-44,20,1412,100,0:01.35,1.35,0.0
2026-04-17T21:09:31.829105,ML-DSA-44,21,1420,99,0:01.36,1.36,0.0
2026-04-17T21:09:33.193101,ML-DSA-44,22,1428,99,0:01.36,1.35,0.0
2026-04-17T21:09:34.595047,ML-DSA-44,23,1428,100,0:01.39,1.39,0.0
2026-04-17T21:09:35.967149,ML-DSA-44,24,1424,100,0:01.36,1.36,0.0
2026-04-17T21:09:37.335878,ML-DSA-44,25,1428,99,0:01.36,1.36,0.0
2026-04-17T21:09:38.748261,ML-DSA-44,26,1428,100,0:01.40,1.4,0.0
2026-04-17T21:09:40.099142,ML-DSA-44,27,1428,100,0:01.34,1.34,0.0
2026-04-17T21:09:41.462997,ML-DSA-44,28,1428,99,0:01.36,1.36,0.0
2026-04-17T21:09:42.832155,ML-DSA-44,29,1424,100,0:01.36,1.36,0.0
2026-04-17T21:09:44.227687,ML-DSA-44,30,1428,99,0:01.39,1.38,0.0
2026-04-17T21:09:46.607742,ML-DSA-65,1,1368,100,0:02.37,2.36,0.0
2026-04-17T21:09:48.964327,ML-DSA-65,2,1368,99,0:02.35,2.35,0.0
2026-04-17T21:09:51.356047,ML-DSA-65,3,1368,99,0:02.38,2.38,0.0
2026-04-17T21:09:53.725476,ML-DSA-65,4,1300,99,0:02.36,2.36,0.0
2026-04-17T21:09:56.126766,ML-DSA-65,5,1304,99,0:02.39,2.38,0.0
2026-04-17T21:09:58.577510,ML-DSA-65,6,1356,99,0:02.44,2.43,0.0
2026-04-17T21:10:01.001858,ML-DSA-65,7,1300,99,0:02.42,2.41,0.0
2026-04-17T21:10:03.412278,ML-DSA-65,8,1352,99,0:02.40,2.39,0.0
2026-04-17T21:10:05.807090,ML-DSA-65,9,1360,99,0:02.39,2.39,0.0
2026-04-17T21:10:08.206612,ML-DSA-65,10,1304,99,0:02.39,2.39,0.0
2026-04-17T21:10:10.608532,ML-DSA-65,11,1304,99,0:02.39,2.39,0.0
2026-04-17T21:10:13.018698,ML-DSA-65,12,1304,99,0:02.40,2.39,0.0
2026-04-17T21:10:15.492668,ML-DSA-65,13,1368,99,0:02.47,2.46,0.0
2026-04-17T21:10:17.813610,ML-DSA-65,14,1304,100,0:02.31,2.31,0.0
2026-04-17T21:10:20.279182,ML-DSA-65,15,1352,99,0:02.46,2.45,0.0
2026-04-17T21:10:22.637418,ML-DSA-65,16,1352,100,0:02.35,2.35,0.0
