run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
Classic-McEliece-348864_run24,active,0.000667,5.39875,0.578597,3.123699,4.4e-05
Classic-McEliece-348864_run24,active,0.013567,5.39125,0.541228,2.917893,0.037686
Classic-McEliece-348864_run24,active,0.026342,5.39875,0.723604,3.906555,0.087592
Classic-McEliece-348864_run24,active,0.039092,5.39875,0.723067,3.903659,0.137363
Classic-McEliece-348864_run24,active,0.051845,5.3975,0.725213,3.914336,0.187284
Classic-McEliece-348864_run24,active,0.064599,5.39625,0.72271,3.899922,0.237022
Classic-McEliece-348864_run24,active,0.077339,5.39625,0.722352,3.897992,0.286684
Classic-McEliece-348864_run24,active,0.090079,5.395,0.587,3.166867,0.327029
Classic-McEliece-348864_run24,active,0.102844,5.39375,0.585749,3.159383,0.367358
Classic-McEliece-348864_run24,active,0.115587,5.40125,0.585212,3.160878,0.407639
Classic-McEliece-348864_run24,active,0.128391,5.3975,0.586285,3.164474,0.448157
Classic-McEliece-348864_run24,active,0.141277,5.4,0.584497,3.156285,0.488827
Classic-McEliece-348864_run24,active,0.154031,5.3975,0.586106,3.163509,0.529175
Classic-McEliece-348864_run24,active,0.166777,5.39625,0.571445,3.083659,0.568481
Classic-McEliece-348864_run24,active,0.179516,5.39625,0.571445,3.083659,0.607762
Classic-McEliece-348864_run24,active,0.192255,5.39875,0.572518,3.090879,0.647138
Classic-McEliece-348864_run24,active,0.205015,5.39875,0.571802,3.087018,0.686528
Classic-McEliece-348864_run24,active,0.21776,5.39875,0.583603,3.150728,0.726684
Classic-McEliece-348864_run24,active,0.230497,5.39875,0.725213,3.915243,0.77655
Classic-McEliece-348864_run24,active,0.243233,5.3975,0.72557,3.916266,0.82643
Classic-McEliece-348864_run24,active,0.255969,5.3975,0.723604,3.90565,0.876172
Classic-McEliece-348864_run24,active,0.26871,5.39625,0.724676,3.910535,0.925994
Classic-McEliece-348864_run24,active,0.281444,5.3975,0.722888,3.90179,0.97568
Classic-McEliece-348864_run24,active,0.294181,5.39875,0.561432,3.031031,1.014287
Classic-McEliece-348864_run24,active,0.306937,5.39875,0.726107,3.920069,1.064292
Classic-McEliece-348864_run24,active,0.319679,5.4,0.725213,3.916149,1.11419
Classic-McEliece-348864_run24,active,0.332417,5.39875,0.725749,3.918138,1.1641
Classic-McEliece-348864_run24,active,0.345151,5.3975,0.723961,3.907581,1.21386
Classic-McEliece-348864_run24,active,0.357887,5.4,0.722173,3.899735,1.263525
Classic-McEliece-348864_run24,active,0.370616,5.39875,0.563399,3.041649,1.302243
Classic-McEliece-348864_run24,active,0.383354,5.39875,0.727537,3.927791,1.352276
Classic-McEliece-348864_run24,active,0.396091,5.39875,0.72557,3.917173,1.402169
Classic-McEliece-348864_run24,active,0.408847,5.39875,0.726107,3.920069,1.452171
Classic-McEliece-348864_run24,active,0.421584,5.3975,0.724676,3.911441,1.501993
Classic-McEliece-348864_run24,active,0.434317,5.39875,0.719491,3.884353,1.551454
Classic-McEliece-348864_run24,active,0.447052,5.39875,0.569657,3.075435,1.590618
Classic-McEliece-348864_run24,active,0.459788,5.39875,0.728789,3.934549,1.64073
Classic-McEliece-348864_run24,active,0.472532,5.39875,0.727895,3.929722,1.69081
Classic-McEliece-348864_run24,active,0.485266,5.3975,0.731292,3.947149,1.741073
Classic-McEliece-348864_run24,active,0.498004,5.3975,0.724855,3.912406,1.790911
Classic-McEliece-348864_run24,active,0.510762,5.3975,0.764549,4.126652,1.843556
Classic-McEliece-348864_run24,active,0.523502,5.395,0.564293,3.04436,1.882341
Classic-McEliece-348864_run24,active,0.536242,5.3975,0.723961,3.907581,1.932123
Classic-McEliece-348864_run24,active,0.548981,5.39875,0.723782,3.90752,1.981902
Classic-McEliece-348864_run24,active,0.561718,5.4,0.722888,3.903597,2.03162
Classic-McEliece-348864_run24,active,0.574454,5.4,0.724498,3.912287,2.081447
Classic-McEliece-348864_run24,active,0.58719,5.39875,0.720743,3.89111,2.131006
Classic-McEliece-348864_run24,active,0.599927,5.3975,0.586106,3.163509,2.1713
Classic-McEliece-348864_run24,active,0.612686,5.39875,0.587537,3.171964,2.211772
Classic-McEliece-348864_run24,active,0.625426,5.40125,0.584855,3.158947,2.252016
Classic-McEliece-348864_run24,active,0.638164,5.39875,0.586285,3.165207,2.292335
Classic-McEliece-348864_run24,active,0.650901,5.3975,0.585391,3.159649,2.332579
Classic-McEliece-348864_run24,active,0.663669,5.39125,0.586285,3.16081,2.372937
Classic-McEliece-348864_run24,active,0.676409,5.39875,0.573054,3.093775,2.412351
Classic-McEliece-348864_run24,active,0.689142,5.39875,0.571445,3.085088,2.451633
Classic-McEliece-348864_run24,active,0.701878,5.4,0.572339,3.09063,2.490995
Classic-McEliece-348864_run24,active,0.714621,5.39875,0.571266,3.084122,2.530297
