run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
Classic-McEliece-348864_run01,active,0.000502,5.38875,0.586643,3.161271,3.5e-05
Classic-McEliece-348864_run01,active,0.013417,5.3975,0.573948,3.097884,0.040044
Classic-McEliece-348864_run01,active,0.026196,5.39625,0.720206,3.886414,0.089707
Classic-McEliece-348864_run01,active,0.038978,5.3975,0.713591,3.851606,0.138939
Classic-McEliece-348864_run01,active,0.051764,5.39625,0.714842,3.857468,0.188262
Classic-McEliece-348864_run01,active,0.064529,5.3975,0.71377,3.852571,0.23744
Classic-McEliece-348864_run01,active,0.077287,5.40125,0.652441,3.523998,0.2824
Classic-McEliece-348864_run01,active,0.090051,5.3825,0.577345,3.107561,0.322063
Classic-McEliece-348864_run01,active,0.102865,5.39625,0.570908,3.080764,0.361543
Classic-McEliece-348864_run01,active,0.11562,5.395,0.571445,3.082945,0.400863
Classic-McEliece-348864_run01,active,0.128369,5.39625,0.568226,3.066292,0.439955
Classic-McEliece-348864_run01,active,0.141131,5.39625,0.569657,3.074011,0.479188
Classic-McEliece-348864_run01,active,0.15388,5.3975,0.570014,3.076653,0.518412
Classic-McEliece-348864_run01,active,0.166628,5.39625,0.556604,3.003576,0.5567
Classic-McEliece-348864_run01,active,0.179407,5.39625,0.556783,3.004541,0.595096
Classic-McEliece-348864_run01,active,0.192155,5.38375,0.55571,2.991806,0.633234
Classic-McEliece-348864_run01,active,0.204907,5.3975,0.553207,2.985936,0.671312
Classic-McEliece-348864_run01,active,0.217664,5.39625,0.578239,3.120323,0.711117
Classic-McEliece-348864_run01,active,0.230408,5.39625,0.59594,3.215843,0.752101
Classic-McEliece-348864_run01,active,0.24315,5.3975,0.71663,3.868013,0.801386
Classic-McEliece-348864_run01,active,0.255896,5.39625,0.711624,3.840101,0.850334
Classic-McEliece-348864_run01,active,0.268639,5.3975,0.714127,3.854502,0.89945
Classic-McEliece-348864_run01,active,0.28138,5.3975,0.7152,3.860292,0.948635
Classic-McEliece-348864_run01,active,0.294122,5.38375,0.585749,3.153525,0.988818
Classic-McEliece-348864_run01,active,0.30687,5.3925,0.707869,3.817185,1.037479
Classic-McEliece-348864_run01,active,0.319619,5.3975,0.717524,3.872838,1.086854
Classic-McEliece-348864_run01,active,0.332381,5.3975,0.715021,3.859327,1.136104
Classic-McEliece-348864_run01,active,0.345124,5.3975,0.720743,3.890209,1.185677
Classic-McEliece-348864_run01,active,0.357869,5.39625,0.711445,3.839136,1.23461
Classic-McEliece-348864_run01,active,0.37061,5.40125,0.548201,2.96097,1.272333
Classic-McEliece-348864_run01,active,0.383352,5.3975,0.716809,3.868978,1.321635
Classic-McEliece-348864_run01,active,0.396133,5.38,0.715915,3.851624,1.37086
Classic-McEliece-348864_run01,active,0.408886,5.39375,0.714842,3.855681,1.420032
Classic-McEliece-348864_run01,active,0.421646,5.395,0.714306,3.853681,1.469204
Classic-McEliece-348864_run01,active,0.434387,5.39625,0.711445,3.839136,1.518118
Classic-McEliece-348864_run01,active,0.447128,5.39625,0.574663,3.101026,1.55763
Classic-McEliece-348864_run01,active,0.459869,5.3975,0.57073,3.080513,1.59688
Classic-McEliece-348864_run01,active,0.472612,5.39625,0.569657,3.074011,1.63605
Classic-McEliece-348864_run01,active,0.485354,5.3975,0.570551,3.079548,1.675291
Classic-McEliece-348864_run01,active,0.498096,5.39875,0.577166,3.115977,1.714994
Classic-McEliece-348864_run01,active,0.510845,5.39625,0.570014,3.07594,1.75421
Classic-McEliece-348864_run01,active,0.523599,5.3975,0.556247,3.002342,1.792501
Classic-McEliece-348864_run01,active,0.536347,5.3925,0.556247,2.999561,1.830738
