run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
FrodoKEM-640-AES_run10,active,0.000621,5.38875,0.572696,3.086118,3.7e-05
FrodoKEM-640-AES_run10,active,0.013505,5.3975,0.580385,3.132627,0.040398
FrodoKEM-640-AES_run10,active,0.026267,5.39625,0.58557,3.159882,0.080724
FrodoKEM-640-AES_run10,active,0.039012,5.3975,0.585749,3.161579,0.121021
FrodoKEM-640-AES_run10,active,0.051749,5.39625,0.585034,3.156988,0.161232
FrodoKEM-640-AES_run10,active,0.0645,5.39625,0.588431,3.17532,0.201718
FrodoKEM-640-AES_run10,active,0.077244,5.3975,0.587358,3.170265,0.24212
FrodoKEM-640-AES_run10,active,0.089987,5.39625,0.585391,3.158917,0.282376
FrodoKEM-640-AES_run10,active,0.102751,5.39,0.578954,3.120564,0.322207
FrodoKEM-640-AES_run10,active,0.115498,5.39625,0.585391,3.158917,0.362472
FrodoKEM-640-AES_run10,active,0.128238,5.3975,0.589325,3.180881,0.402997
FrodoKEM-640-AES_run10,active,0.14098,5.39625,0.587,3.167601,0.443359
FrodoKEM-640-AES_run10,active,0.15372,5.39625,0.581636,3.138655,0.483344
FrodoKEM-640-AES_run10,active,0.166461,5.39125,0.586822,3.163702,0.523652
FrodoKEM-640-AES_run10,active,0.179201,5.4,0.585391,3.161112,0.563926
FrodoKEM-640-AES_run10,active,0.191942,5.39625,0.581815,3.13962,0.603928
FrodoKEM-640-AES_run10,active,0.2047,5.38375,0.581815,3.132348,0.643889
FrodoKEM-640-AES_run10,active,0.217447,5.39625,0.587358,3.169531,0.684293
FrodoKEM-640-AES_run10,active,0.230185,5.39875,0.587,3.169068,0.72466
FrodoKEM-640-AES_run10,active,0.242924,5.3975,0.580742,3.134557,0.764593
FrodoKEM-640-AES_run10,active,0.255667,5.39625,0.587537,3.170495,0.804992
FrodoKEM-640-AES_run10,active,0.268406,5.3925,0.588967,3.176006,0.845452
FrodoKEM-640-AES_run10,active,0.281148,5.3975,0.587358,3.170265,0.885848
FrodoKEM-640-AES_run10,active,0.293889,5.39625,0.581636,3.138655,0.925837
FrodoKEM-640-AES_run10,active,0.306644,5.3825,0.587894,3.164342,0.966198
FrodoKEM-640-AES_run10,active,0.319431,5.40125,0.589504,3.184056,1.006912
FrodoKEM-640-AES_run10,active,0.332172,5.39625,0.580385,3.131901,1.046816
FrodoKEM-640-AES_run10,active,0.344914,5.39875,0.580742,3.135283,1.086766
FrodoKEM-640-AES_run10,active,0.357655,5.39375,0.588073,3.17192,1.127179
FrodoKEM-640-AES_run10,active,0.370395,5.405,0.586822,3.171771,1.167587
FrodoKEM-640-AES_run10,active,0.383134,5.3975,0.581815,3.140348,1.207594
FrodoKEM-640-AES_run10,active,0.395875,5.3975,0.587179,3.1693,1.247974
FrodoKEM-640-AES_run10,active,0.408633,5.38375,0.592364,3.189142,1.288659
FrodoKEM-640-AES_run10,active,0.42138,5.39625,0.586643,3.165671,1.329014
FrodoKEM-640-AES_run10,active,0.43412,5.3975,0.581458,3.138417,1.368995
FrodoKEM-640-AES_run10,active,0.446861,5.3975,0.586822,3.16737,1.409352
FrodoKEM-640-AES_run10,active,0.459601,5.3925,0.587537,3.168292,1.449715
FrodoKEM-640-AES_run10,active,0.472341,5.39875,0.581815,3.141075,1.489733
FrodoKEM-640-AES_run10,active,0.485083,5.39875,0.582173,3.143005,1.529782
FrodoKEM-640-AES_run10,active,0.497824,5.39625,0.587,3.167601,1.570139
FrodoKEM-640-AES_run10,active,0.51058,5.38125,0.588967,3.16938,1.610567
FrodoKEM-640-AES_run10,active,0.523331,5.39375,0.580742,3.132379,1.650509
FrodoKEM-640-AES_run10,active,0.536084,5.395,0.586822,3.165903,1.690885
FrodoKEM-640-AES_run10,active,0.548829,5.3975,0.588788,3.177985,1.731386
FrodoKEM-640-AES_run10,active,0.56157,5.39625,0.586822,3.166636,1.771732
FrodoKEM-640-AES_run10,active,0.57431,5.395,0.581279,3.135999,1.811686
FrodoKEM-640-AES_run10,active,0.587052,5.3975,0.587537,3.17123,1.852093
FrodoKEM-640-AES_run10,active,0.599792,5.39375,0.584676,3.153596,1.89227
FrodoKEM-640-AES_run10,active,0.612551,5.38375,0.588967,3.170852,1.932729
FrodoKEM-640-AES_run10,active,0.6253,5.3975,0.580921,3.135522,1.972702
FrodoKEM-640-AES_run10,active,0.638045,5.3975,0.586285,3.164474,2.013033
FrodoKEM-640-AES_run10,active,0.650787,5.39625,0.587179,3.168566,2.053407
FrodoKEM-640-AES_run10,active,0.663527,5.3975,0.581636,3.139382,2.093405
FrodoKEM-640-AES_run10,active,0.67627,5.3975,0.588788,3.177985,2.1339
FrodoKEM-640-AES_run10,active,0.689013,5.39375,0.586464,3.16324,2.174211
FrodoKEM-640-AES_run10,active,0.701753,5.39625,0.586285,3.163742,2.214516
FrodoKEM-640-AES_run10,active,0.714498,5.39625,0.581636,3.138655,2.254517
FrodoKEM-640-AES_run10,active,0.727244,5.39625,0.587179,3.168566,2.294903
FrodoKEM-640-AES_run10,active,0.739983,5.40125,0.587179,3.171502,2.335305
FrodoKEM-640-AES_run10,active,0.75272,5.3975,0.586643,3.166405,2.375636
FrodoKEM-640-AES_run10,active,0.765467,5.39625,0.583067,3.146374,2.415744
FrodoKEM-640-AES_run10,active,0.778216,5.395,0.587894,3.17169,2.456178
FrodoKEM-640-AES_run10,active,0.790953,5.39375,0.586822,3.165169,2.496494
FrodoKEM-640-AES_run10,active,0.803693,5.3975,0.581815,3.140348,2.536501
FrodoKEM-640-AES_run10,active,0.816439,5.3925,0.586643,3.163471,2.576824
FrodoKEM-640-AES_run10,active,0.829185,5.395,0.590576,3.18616,2.617434
FrodoKEM-640-AES_run10,active,0.841926,5.395,0.587,3.166867,2.657785
FrodoKEM-640-AES_run10,active,0.854698,5.39625,0.579848,3.129007,2.697746
FrodoKEM-640-AES_run10,active,0.867443,5.39875,0.587179,3.170034,2.738149
FrodoKEM-640-AES_run10,active,0.880184,5.39875,0.588788,3.178721,2.778649
FrodoKEM-640-AES_run10,active,0.892926,5.39625,0.587537,3.170495,2.819047
FrodoKEM-640-AES_run10,active,0.905665,5.39875,0.581636,3.14011,2.85905
FrodoKEM-640-AES_run10,active,0.91841,5.395,0.590219,3.18423,2.899633
FrodoKEM-640-AES_run10,active,0.931153,5.39625,0.588431,3.17532,2.940095
FrodoKEM-640-AES_run10,active,0.943891,5.39625,0.581636,3.138655,2.980075
FrodoKEM-640-AES_run10,active,0.956631,5.395,0.585391,3.158186,3.020312
FrodoKEM-640-AES_run10,active,0.969373,5.39625,0.588788,3.177249,3.060794
FrodoKEM-640-AES_run10,active,0.982115,5.3975,0.586643,3.166405,3.101142
FrodoKEM-640-AES_run10,active,0.994855,5.3975,0.582173,3.142278,3.141174
FrodoKEM-640-AES_run10,active,1.007593,5.39625,0.587716,3.17146,3.181573
FrodoKEM-640-AES_run10,active,1.020339,5.39375,0.580027,3.128522,3.22145
FrodoKEM-640-AES_run10,active,1.033086,5.39625,0.585034,3.156988,3.261691
FrodoKEM-640-AES_run10,active,1.045829,5.39625,0.579848,3.129007,3.301563
FrodoKEM-640-AES_run10,active,1.058567,5.39625,0.588431,3.17532,3.342013
FrodoKEM-640-AES_run10,active,1.071307,5.3975,0.589504,3.181846,3.382549
FrodoKEM-640-AES_run10,active,1.084048,5.39875,0.581994,3.14204,3.422581
FrodoKEM-640-AES_run10,active,1.09679,5.39625,0.582173,3.14155,3.46261
FrodoKEM-640-AES_run10,active,1.109533,5.39375,0.586106,3.161311,3.502894
FrodoKEM-640-AES_run10,active,1.122278,5.39625,0.587179,3.168566,3.543278
FrodoKEM-640-AES_run10,active,1.135023,5.3975,0.581994,3.141313,3.583313
FrodoKEM-640-AES_run10,active,1.147762,5.3975,0.588788,3.177985,3.623798
FrodoKEM-640-AES_run10,active,1.160502,5.39875,0.587358,3.170999,3.664196
FrodoKEM-640-AES_run10,active,1.173244,5.3975,0.586464,3.165439,3.704531
FrodoKEM-640-AES_run10,active,1.185987,5.395,0.582352,3.141787,3.744568
FrodoKEM-640-AES_run10,active,1.198724,5.3975,0.586643,3.166405,3.784898
FrodoKEM-640-AES_run10,active,1.211464,5.40375,0.587179,3.17297,3.825322
FrodoKEM-640-AES_run10,active,1.22421,5.3975,0.581815,3.140348,3.865346
FrodoKEM-640-AES_run10,active,1.236954,5.3975,0.581636,3.139382,3.905357
FrodoKEM-640-AES_run10,active,1.249695,5.4025,0.587894,3.176099,3.945824
FrodoKEM-640-AES_run10,active,1.262433,5.39625,0.587,3.167601,3.986173
FrodoKEM-640-AES_run10,active,1.277698,5.39625,0.581636,3.138655,4.034083
FrodoKEM-640-AES_run10,active,1.290454,5.3975,0.587,3.168335,4.074499
FrodoKEM-640-AES_run10,active,1.303197,5.39625,0.587358,3.169531,4.114887
FrodoKEM-640-AES_run10,active,1.315938,5.3975,0.587179,3.1693,4.155267
FrodoKEM-640-AES_run10,active,1.328685,5.395,0.579848,3.128282,4.195144
FrodoKEM-640-AES_run10,active,1.341431,5.39875,0.588431,3.176791,4.235634
FrodoKEM-640-AES_run10,active,1.354169,5.39625,0.587894,3.172425,4.276046
FrodoKEM-640-AES_run10,active,1.366908,5.3975,0.581636,3.139382,4.316037
FrodoKEM-640-AES_run10,active,1.379646,5.39625,0.58557,3.159882,4.356289
FrodoKEM-640-AES_run10,active,1.392386,5.395,0.588431,3.174584,4.396732
FrodoKEM-640-AES_run10,active,1.405126,5.3975,0.587,3.168335,4.437099
FrodoKEM-640-AES_run10,active,1.417866,5.3975,0.579312,3.126837,4.476932
FrodoKEM-640-AES_run10,active,1.430609,5.39625,0.587894,3.172425,4.51736
FrodoKEM-640-AES_run10,active,1.443353,5.39625,0.59004,3.184003,4.557938
FrodoKEM-640-AES_run10,active,1.456091,5.3975,0.587179,3.1693,4.598307
FrodoKEM-640-AES_run10,active,1.468833,5.39125,0.585212,3.155026,4.63851
FrodoKEM-640-AES_run10,active,1.481572,5.39875,0.587716,3.17293,4.67893
FrodoKEM-640-AES_run10,active,1.494311,5.3975,0.587,3.168335,4.719289
FrodoKEM-640-AES_run10,active,1.507051,5.39625,0.5811,3.135761,4.759238
FrodoKEM-640-AES_run10,active,1.519789,5.39375,0.587894,3.170955,4.799632
FrodoKEM-640-AES_run10,active,1.532535,5.395,0.587179,3.167832,4.840008
FrodoKEM-640-AES_run10,active,1.545278,5.39375,0.587,3.166133,4.880354
FrodoKEM-640-AES_run10,active,1.558019,5.3975,0.582173,3.142278,4.920389
FrodoKEM-640-AES_run10,active,1.570755,5.4025,0.587,3.17127,4.96078
FrodoKEM-640-AES_run10,active,1.583494,5.395,0.587358,3.168796,5.001147
FrodoKEM-640-AES_run10,active,1.596234,5.3975,0.587,3.168335,5.041511
FrodoKEM-640-AES_run10,active,1.608973,5.4,0.581994,3.142768,5.081548
FrodoKEM-640-AES_run10,active,1.621715,5.39625,0.587537,3.170495,5.121947
FrodoKEM-640-AES_run10,active,1.634459,5.39375,0.587537,3.169027,5.162333
FrodoKEM-640-AES_run10,active,1.6472,5.39625,0.582709,3.144445,5.202396
FrodoKEM-640-AES_run10,active,1.659941,5.4025,0.583424,3.15195,5.242554
FrodoKEM-640-AES_run10,active,1.67268,5.39625,0.587716,3.17146,5.282955
FrodoKEM-640-AES_run10,active,1.685422,5.3875,0.586822,3.161501,5.323238
FrodoKEM-640-AES_run10,active,1.698173,5.3925,0.581994,3.138403,5.363258
FrodoKEM-640-AES_run10,active,1.710918,5.39625,0.589325,3.180144,5.403787
FrodoKEM-640-AES_run10,active,1.723658,5.3975,0.59004,3.184741,5.444361
FrodoKEM-640-AES_run10,active,1.736405,5.3975,0.587358,3.170265,5.484774
FrodoKEM-640-AES_run10,active,1.749152,5.3975,0.583961,3.151928,5.524951
FrodoKEM-640-AES_run10,active,1.761898,5.395,0.587894,3.17169,5.565378
FrodoKEM-640-AES_run10,active,1.774647,5.3975,0.590576,3.187636,5.606017
FrodoKEM-640-AES_run10,active,1.787422,5.39625,0.586643,3.165671,5.646457
FrodoKEM-640-AES_run10,active,1.800164,5.39125,0.580921,3.131891,5.686364
FrodoKEM-640-AES_run10,active,1.812904,5.39625,0.587894,3.172425,5.726782
FrodoKEM-640-AES_run10,active,1.825644,5.3975,0.587358,3.170265,5.767171
FrodoKEM-640-AES_run10,active,1.83839,5.3975,0.58557,3.160614,5.807454
FrodoKEM-640-AES_run10,active,1.851132,5.3975,0.587537,3.17123,5.847862
FrodoKEM-640-AES_run10,active,1.863871,5.3975,0.587894,3.17316,5.888287
FrodoKEM-640-AES_run10,active,1.876612,5.395,0.587179,3.167832,5.928647
FrodoKEM-640-AES_run10,active,1.889354,5.39625,0.586643,3.165671,5.968984
FrodoKEM-640-AES_run10,active,1.902123,5.3975,0.58861,3.17702,6.009552
FrodoKEM-640-AES_run10,active,1.914868,5.39625,0.587894,3.172425,6.049983
FrodoKEM-640-AES_run10,active,1.927607,5.395,0.582173,3.140822,6.089995
FrodoKEM-640-AES_run10,active,1.940351,5.39875,0.582352,3.143971,6.130061
FrodoKEM-640-AES_run10,active,1.953096,5.3975,0.59004,3.184741,6.170652
FrodoKEM-640-AES_run10,active,1.965837,5.39625,0.586285,3.163742,6.210961
FrodoKEM-640-AES_run10,active,1.978574,5.3975,0.582352,3.143243,6.250997
FrodoKEM-640-AES_run10,active,1.991315,5.39875,0.587179,3.170034,6.291384
FrodoKEM-640-AES_run10,active,2.004053,5.39625,0.587358,3.169531,6.33176
FrodoKEM-640-AES_run10,active,2.016794,5.395,0.587,3.166867,6.37211
FrodoKEM-640-AES_run10,active,2.029535,5.395,0.581636,3.137928,6.412089
FrodoKEM-640-AES_run10,active,2.042277,5.39875,0.587716,3.17293,6.452517
FrodoKEM-640-AES_run10,active,2.05502,5.395,0.587179,3.167832,6.492886
FrodoKEM-640-AES_run10,active,2.067759,5.3975,0.588431,3.176055,6.533346
FrodoKEM-640-AES_run10,active,2.080499,5.405,0.58253,3.148577,6.573459
FrodoKEM-640-AES_run10,active,2.093241,5.39625,0.587716,3.17146,6.613869
FrodoKEM-640-AES_run10,active,2.105983,5.39625,0.586643,3.165671,6.654206
FrodoKEM-640-AES_run10,active,2.11872,5.4,0.58253,3.145664,6.694274
FrodoKEM-640-AES_run10,active,2.131459,5.3975,0.58861,3.17702,6.734745
FrodoKEM-640-AES_run10,active,2.144205,5.39625,0.588073,3.17339,6.775192
FrodoKEM-640-AES_run10,active,2.156949,5.39625,0.587179,3.168566,6.815573
FrodoKEM-640-AES_run10,active,2.16969,5.3975,0.586285,3.164474,6.85589
FrodoKEM-640-AES_run10,active,2.182426,5.395,0.587716,3.170726,6.896274
FrodoKEM-640-AES_run10,active,2.195165,5.39625,0.587894,3.172425,6.936686
FrodoKEM-640-AES_run10,active,2.207904,5.39625,0.588431,3.17532,6.977136
FrodoKEM-640-AES_run10,active,2.220642,5.395,0.580027,3.129247,7.016996
FrodoKEM-640-AES_run10,active,2.233382,5.39625,0.587537,3.170495,7.05739
FrodoKEM-640-AES_run10,active,2.246125,5.39625,0.587358,3.169531,7.097781
FrodoKEM-640-AES_run10,active,2.258871,5.39375,0.585212,3.156489,7.138013
FrodoKEM-640-AES_run10,active,2.27161,5.39875,0.587894,3.173895,7.178445
FrodoKEM-640-AES_run10,active,2.284349,5.3975,0.588073,3.174125,7.218881
FrodoKEM-640-AES_run10,active,2.297091,5.39625,0.587179,3.168566,7.259254
FrodoKEM-640-AES_run10,active,2.309833,5.3975,0.579848,3.129732,7.299132
FrodoKEM-640-AES_run10,active,2.32257,5.39625,0.587537,3.170495,7.339514
FrodoKEM-640-AES_run10,active,2.335311,5.39625,0.587,3.167601,7.379873
FrodoKEM-640-AES_run10,active,2.348057,5.39625,0.588788,3.177249,7.420371
FrodoKEM-640-AES_run10,active,2.360803,5.39625,0.581994,3.140585,7.4604
FrodoKEM-640-AES_run10,active,2.373546,5.39875,0.588252,3.175825,7.500869
FrodoKEM-640-AES_run10,active,2.386284,5.39625,0.586822,3.166636,7.541205
FrodoKEM-640-AES_run10,active,2.399024,5.39875,0.583603,3.150728,7.581345
FrodoKEM-640-AES_run10,active,2.411764,5.3975,0.589682,3.182811,7.621895
FrodoKEM-640-AES_run10,active,2.424501,5.395,0.587894,3.17169,7.662294
FrodoKEM-640-AES_run10,active,2.437243,5.3975,0.588073,3.174125,7.702739
FrodoKEM-640-AES_run10,active,2.449988,5.395,0.582352,3.141787,7.742781
FrodoKEM-640-AES_run10,active,2.462731,5.39875,0.588788,3.178721,7.783288
FrodoKEM-640-AES_run10,active,2.475473,5.395,0.588073,3.172655,7.823713
FrodoKEM-640-AES_run10,active,2.488211,5.395,0.586643,3.164938,7.864029
FrodoKEM-640-AES_run10,active,2.500951,5.3975,0.582173,3.142278,7.904059
FrodoKEM-640-AES_run10,active,2.5137,5.39625,0.587537,3.170495,7.94448
FrodoKEM-640-AES_run10,active,2.526436,5.39875,0.585391,3.160381,7.98473
FrodoKEM-640-AES_run10,active,2.539174,5.38875,0.580206,3.126585,8.024559
FrodoKEM-640-AES_run10,active,2.55464,5.39625,0.585391,3.158917,8.073414
FrodoKEM-640-AES_run10,active,2.567433,5.39875,0.587537,3.171964,8.113993
FrodoKEM-640-AES_run10,active,2.580178,5.39625,0.588967,3.178214,8.154499
FrodoKEM-640-AES_run10,active,2.592921,5.39625,0.589682,3.182074,8.195047
FrodoKEM-640-AES_run10,active,2.605662,5.39625,0.587358,3.169531,8.235431
FrodoKEM-640-AES_run10,active,2.618401,5.39875,0.583961,3.152658,8.275592
FrodoKEM-640-AES_run10,active,2.63114,5.39625,0.58253,3.14348,8.315638
FrodoKEM-640-AES_run10,active,2.643878,5.39875,0.582173,3.143005,8.355674
FrodoKEM-640-AES_run10,active,2.656624,5.39625,0.587537,3.170495,8.396085
FrodoKEM-640-AES_run10,active,2.669371,5.39875,0.582173,3.143005,8.436149
FrodoKEM-640-AES_run10,active,2.682112,5.39625,0.581815,3.13962,8.476149
FrodoKEM-640-AES_run10,active,2.69485,5.3975,0.587537,3.17123,8.516545
FrodoKEM-640-AES_run10,active,2.707591,5.3975,0.588252,3.17509,8.556999
FrodoKEM-640-AES_run10,active,2.720335,5.3975,0.587537,3.17123,8.597415
FrodoKEM-640-AES_run10,active,2.733077,5.395,0.582173,3.140822,8.637434
FrodoKEM-640-AES_run10,active,2.745816,5.395,0.587537,3.169761,8.677814
FrodoKEM-640-AES_run10,active,2.758556,5.39625,0.586643,3.165671,8.718144
FrodoKEM-640-AES_run10,active,2.771311,5.4,0.589682,3.184285,8.758759
FrodoKEM-640-AES_run10,active,2.784052,5.3975,0.582709,3.145173,8.798833
FrodoKEM-640-AES_run10,active,2.796797,5.3975,0.588073,3.174125,8.839287
FrodoKEM-640-AES_run10,active,2.809539,5.4,0.58557,3.162078,8.879577
FrodoKEM-640-AES_run10,active,2.822287,5.385,0.581815,3.133075,8.919518
FrodoKEM-640-AES_run10,active,2.835275,5.39375,0.590576,3.185421,8.960891
FrodoKEM-640-AES_run10,active,2.848068,5.38875,0.622403,3.353973,9.003797
FrodoKEM-640-AES_run10,active,2.860829,5.39875,0.588073,3.17486,9.044311
FrodoKEM-640-AES_run10,active,2.873585,5.39625,0.581994,3.140585,9.084373
FrodoKEM-640-AES_run10,active,2.886325,5.39875,0.587894,3.173895,9.124809
FrodoKEM-640-AES_run10,active,2.899066,5.3975,0.590398,3.186671,9.165412
FrodoKEM-640-AES_run10,active,2.911806,5.3975,0.587179,3.1693,9.205786
