run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
Kyber512_run26,active,0.000477,5.39375,0.564472,3.044619,3.4e-05
Kyber512_run26,active,0.013375,5.3975,0.598265,3.229134,0.041682
Kyber512_run26,active,0.02613,5.39625,0.596656,3.219703,0.08275
Kyber512_run26,active,0.038896,5.39625,0.593258,3.201371,0.123619
Kyber512_run26,active,0.051666,5.39625,0.596119,3.216808,0.164698
Kyber512_run26,active,0.064434,5.39625,0.598265,3.228386,0.205917
Kyber512_run26,active,0.07718,5.4,0.599695,3.238354,0.247192
Kyber512_run26,active,0.089921,5.39625,0.598622,3.230316,0.288352
Kyber512_run26,active,0.102662,5.39625,0.598444,3.229351,0.329496
Kyber512_run26,active,0.115405,5.3925,0.598801,3.229035,0.370643
Kyber512_run26,active,0.128147,5.395,0.596656,3.218957,0.411658
Kyber512_run26,idle_post,0.140974,5.395,0.429656,2.317996,0.411691
Kyber512_run26,idle_post,0.153729,5.39625,0.427868,2.308885,0.44114
Kyber512_run26,idle_post,0.166465,5.3975,0.428405,2.312315,0.47059
Kyber512_run26,idle_post,0.179199,5.39625,0.427153,2.305025,0.499943
Kyber512_run26,idle_post,0.191968,5.3975,0.429656,2.31907,0.529554
Kyber512_run26,idle_post,0.204707,5.39625,0.429478,2.317568,0.559077
Kyber512_run26,idle_post,0.217439,5.3925,0.430193,2.319815,0.588615
Kyber512_run26,idle_post,0.230173,5.3975,0.429299,2.31714,0.61812
Kyber512_run26,idle_post,0.242916,5.39625,0.429299,2.316604,0.647641
Kyber512_run26,idle_post,0.255649,5.3975,0.42912,2.316175,0.677133
Kyber512_run26,idle_post,0.268386,5.3975,0.429656,2.31907,0.70667
Kyber512_run26,idle_post,0.28112,5.3975,0.428941,2.31521,0.736152
Kyber512_run26,idle_post,0.293852,5.39625,0.429656,2.318533,0.765672
Kyber512_run26,idle_post,0.306586,5.3975,0.429478,2.318105,0.79519
Kyber512_run26,idle_post,0.31932,5.3975,0.428941,2.31521,0.824673
Kyber512_run26,idle_post,0.332063,5.39125,0.429478,2.315421,0.854178
Kyber512_run26,idle_post,0.3448,5.3925,0.42912,2.31403,0.883651
Kyber512_run26,idle_post,0.357532,5.39625,0.428941,2.314674,0.913122
Kyber512_run26,idle_post,0.370265,5.3975,0.429299,2.31714,0.942625
Kyber512_run26,idle_post,0.382996,5.39625,0.43055,2.323358,0.972205
Kyber512_run26,idle_post,0.395728,5.3975,0.426617,2.302664,1.001523
Kyber512_run26,idle_post,0.408462,5.3975,0.429478,2.318105,1.031042
Kyber512_run26,idle_post,0.421195,5.39625,0.431802,2.330112,1.060711
Kyber512_run26,idle_post,0.433935,5.39625,0.429299,2.316604,1.090224
Kyber512_run26,idle_post,0.44667,5.39625,0.429299,2.316604,1.119726
Kyber512_run26,idle_post,0.459405,5.39625,0.427868,2.308885,1.14913
Kyber512_run26,idle_post,0.472141,5.3975,0.427332,2.306524,1.178505
Kyber512_run26,idle_post,0.484872,5.39625,0.427332,2.30599,1.207863
Kyber512_run26,idle_post,0.497603,5.39625,0.425902,2.298272,1.237123
Kyber512_run26,idle_post,0.510336,5.395,0.429299,2.316067,1.266613
Kyber512_run26,idle_post,0.52307,5.39875,0.42912,2.316712,1.296113
Kyber512_run26,idle_post,0.535809,5.3975,0.429299,2.31714,1.325633
Kyber512_run26,idle_post,0.548546,5.38875,0.428762,2.310493,1.355061
Kyber512_run26,idle_post,0.561279,5.38625,0.428226,2.306532,1.384429
Kyber512_run26,idle_post,0.574013,5.39625,0.428762,2.313709,1.413893
Kyber512_run26,idle_post,0.586745,5.39625,0.431802,2.330112,1.443559
Kyber512_run26,idle_post,0.599476,5.3975,0.428762,2.314245,1.473022
Kyber512_run26,idle_post,0.612208,5.39625,0.429299,2.316604,1.502517
Kyber512_run26,idle_post,0.62494,5.39625,0.42912,2.315639,1.531999
Kyber512_run26,idle_post,0.637675,5.39625,0.426438,2.301166,1.561306
Kyber512_run26,idle_post,0.650411,5.39625,0.429299,2.316604,1.590809
Kyber512_run26,idle_post,0.663141,5.3975,0.42912,2.316175,1.620295
Kyber512_run26,idle_post,0.675873,5.395,0.426438,2.300633,1.649586
Kyber512_run26,idle_post,0.688605,5.3975,0.430193,2.321966,1.679148
Kyber512_run26,idle_post,0.70139,5.395,0.428762,2.313173,1.708723
Kyber512_run26,idle_post,0.714149,5.39625,0.430193,2.321428,1.738342
Kyber512_run26,idle_post,0.726889,5.3975,0.432875,2.336442,1.768108
Kyber512_run26,idle_post,0.739631,5.3975,0.428941,2.31521,1.79761
Kyber512_run26,idle_post,0.752373,5.3975,0.429299,2.31714,1.827134
Kyber512_run26,idle_post,0.765106,5.395,0.429299,2.316067,1.856626
