run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
ML-KEM-512_run21,active,0.000515,5.39625,0.568226,3.066292,3.3e-05
ML-KEM-512_run21,active,0.013382,5.39,0.585749,3.157186,0.040657
ML-KEM-512_run21,active,0.026155,5.3875,0.585212,3.152832,0.080927
ML-KEM-512_run21,active,0.038915,5.39375,0.584318,3.151667,0.121143
ML-KEM-512_run21,active,0.051655,5.395,0.583603,3.148539,0.161256
ML-KEM-512_run21,active,0.064407,5.39625,0.586285,3.163742,0.201597
ML-KEM-512_run21,active,0.077152,5.39625,0.586106,3.162777,0.241908
ML-KEM-512_run21,active,0.089892,5.3975,0.585749,3.161579,0.282186
ML-KEM-512_run21,active,0.102642,5.39875,0.584855,3.157485,0.322443
ML-KEM-512_run21,active,0.115428,5.3975,0.585391,3.159649,0.362842
ML-KEM-512_run21,active,0.128168,5.4,0.585749,3.163044,0.403142
ML-KEM-512_run21,idle_post,0.141008,5.395,0.42608,2.298704,0.403176
ML-KEM-512_run21,idle_post,0.153763,5.39625,0.424292,2.289588,0.432381
ML-KEM-512_run21,idle_post,0.166498,5.3975,0.424829,2.293013,0.461583
ML-KEM-512_run21,idle_post,0.179234,5.3925,0.424471,2.288961,0.490733
ML-KEM-512_run21,idle_post,0.191968,5.3975,0.42608,2.299769,0.52002
ML-KEM-512_run21,idle_post,0.204709,5.39875,0.426259,2.301267,0.549341
ML-KEM-512_run21,idle_post,0.21745,5.39875,0.425902,2.299336,0.578636
ML-KEM-512_run21,idle_post,0.230184,5.39625,0.427868,2.308885,0.608036
ML-KEM-512_run21,idle_post,0.242916,5.39625,0.425902,2.298272,0.637299
ML-KEM-512_run21,idle_post,0.255649,5.39625,0.425723,2.297307,0.666551
ML-KEM-512_run21,idle_post,0.268383,5.39625,0.427511,2.306955,0.695927
ML-KEM-512_run21,idle_post,0.281118,5.39625,0.425723,2.297307,0.725183
ML-KEM-512_run21,idle_post,0.29385,5.395,0.42608,2.298704,0.75445
ML-KEM-512_run21,idle_post,0.306589,5.3975,0.425723,2.297839,0.783722
ML-KEM-512_run21,idle_post,0.319327,5.395,0.422862,2.28134,0.812781
ML-KEM-512_run21,idle_post,0.332058,5.39625,0.426796,2.303096,0.842103
ML-KEM-512_run21,idle_post,0.344793,5.3975,0.426259,2.300734,0.871403
ML-KEM-512_run21,idle_post,0.357526,5.39625,0.425365,2.295377,0.90063
ML-KEM-512_run21,idle_post,0.370258,5.3975,0.42608,2.299769,0.92991
ML-KEM-512_run21,idle_post,0.38299,5.3975,0.425723,2.297839,0.959166
ML-KEM-512_run21,idle_post,0.395721,5.3975,0.425723,2.297839,0.988421
ML-KEM-512_run21,idle_post,0.408458,5.395,0.424114,2.288093,1.017563
ML-KEM-512_run21,idle_post,0.421197,5.3975,0.425723,2.297839,1.046836
ML-KEM-512_run21,idle_post,0.433928,5.39625,0.425544,2.296342,1.076072
ML-KEM-512_run21,idle_post,0.446689,5.3975,0.425365,2.295909,1.10537
ML-KEM-512_run21,idle_post,0.459427,5.3975,0.425544,2.296874,1.134627
ML-KEM-512_run21,idle_post,0.472159,5.39625,0.425902,2.298272,1.163887
ML-KEM-512_run21,idle_post,0.484892,5.39625,0.425723,2.297307,1.193139
ML-KEM-512_run21,idle_post,0.497622,5.3975,0.426438,2.301699,1.22244
ML-KEM-512_run21,idle_post,0.51036,5.39875,0.426259,2.301267,1.251754
ML-KEM-512_run21,idle_post,0.523099,5.39625,0.425723,2.297307,1.281019
ML-KEM-512_run21,idle_post,0.53583,5.39625,0.425723,2.297307,1.310265
ML-KEM-512_run21,idle_post,0.548563,5.39625,0.42608,2.299236,1.339541
ML-KEM-512_run21,idle_post,0.561297,5.395,0.425544,2.29581,1.368778
ML-KEM-512_run21,idle_post,0.57403,5.395,0.42608,2.298704,1.398045
ML-KEM-512_run21,idle_post,0.586763,5.39625,0.42608,2.299236,1.427322
ML-KEM-512_run21,idle_post,0.599495,5.3975,0.426617,2.302664,1.456639
ML-KEM-512_run21,idle_post,0.612227,5.4,0.426259,2.3018,1.485946
ML-KEM-512_run21,idle_post,0.624977,5.39625,0.425723,2.297307,1.515238
ML-KEM-512_run21,idle_post,0.63771,5.3925,0.425723,2.29571,1.544469
ML-KEM-512_run21,idle_post,0.650443,5.39625,0.42608,2.299236,1.573746
ML-KEM-512_run21,idle_post,0.663174,5.395,0.425723,2.296775,1.602984
ML-KEM-512_run21,idle_post,0.675913,5.3975,0.425723,2.297839,1.632257
ML-KEM-512_run21,idle_post,0.688645,5.395,0.427511,2.306421,1.661623
ML-KEM-512_run21,idle_post,0.701379,5.39625,0.425723,2.297307,1.690877
ML-KEM-512_run21,idle_post,0.714117,5.39625,0.425723,2.297307,1.720139
ML-KEM-512_run21,idle_post,0.726854,5.39625,0.425902,2.298272,1.749413
ML-KEM-512_run21,idle_post,0.739586,5.39625,0.425186,2.294412,1.778626
ML-KEM-512_run21,idle_post,0.752316,5.39625,0.42608,2.299236,1.807894
ML-KEM-512_run21,idle_post,0.765048,5.39625,0.425723,2.297307,1.837143
