run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
Dilithium2_run28,active,0.000522,5.39625,0.566617,3.057608,3.4e-05
Dilithium2_run28,active,0.013377,5.3925,0.600053,3.235785,0.041629
Dilithium2_run28,active,0.026147,5.39875,0.607741,3.281043,0.083528
Dilithium2_run28,active,0.038947,5.39625,0.60935,3.288207,0.125617
Dilithium2_run28,active,0.05171,5.39625,0.609529,3.289172,0.167596
Dilithium2_run28,active,0.064463,5.395,0.605417,3.266224,0.209252
Dilithium2_run28,active,0.077209,5.39625,0.606668,3.273734,0.25098
Dilithium2_run28,active,0.089957,5.3975,0.608635,3.285108,0.292857
Dilithium2_run28,active,0.10271,5.39625,0.603629,3.257332,0.334399
Dilithium2_run28,active,0.115462,5.3975,0.609529,3.289934,0.376351
Dilithium2_run28,active,0.128251,5.39875,0.608635,3.285869,0.418375
Dilithium2_run28,active,0.140995,5.39625,0.610244,3.293031,0.46034
Dilithium2_run28,active,0.153741,5.39125,0.604344,3.25817,0.501868
Dilithium2_run28,active,0.166482,5.39625,0.611138,3.297856,0.543887
Dilithium2_run28,active,0.179221,5.39875,0.611317,3.300349,0.585931
Dilithium2_run28,active,0.191962,5.39625,0.609172,3.287242,0.627814
Dilithium2_run28,active,0.204711,5.39375,0.611675,3.299221,0.669876
Dilithium2_run28,active,0.21746,5.39875,0.608635,3.285869,0.711768
Dilithium2_run28,active,0.230206,5.39625,0.611317,3.29882,0.753815
Dilithium2_run28,active,0.242946,5.3975,0.612032,3.303445,0.795901
Dilithium2_run28,active,0.255689,5.3975,0.61096,3.297654,0.837921
Dilithium2_run28,active,0.26843,5.39375,0.609529,3.287648,0.879809
Dilithium2_run28,active,0.281172,5.3975,0.609887,3.291864,0.921752
Dilithium2_run28,active,0.293917,5.40125,0.610602,3.298014,0.963788
Dilithium2_run28,active,0.306668,5.395,0.610244,3.292269,1.005767
Dilithium2_run28,active,0.319415,5.395,0.610244,3.292269,1.047733
Dilithium2_run28,active,0.33216,5.3975,0.608456,3.284143,1.089589
Dilithium2_run28,active,0.344902,5.40125,0.609708,3.293185,1.13155
Dilithium2_run28,active,0.357645,5.39875,0.610423,3.295522,1.173545
Dilithium2_run28,active,0.370387,5.3975,0.608993,3.287039,1.215429
Dilithium2_run28,active,0.383127,5.4,0.609887,3.293389,1.257388
Dilithium2_run28,active,0.39587,5.39625,0.612211,3.303645,1.299485
Dilithium2_run28,active,0.408618,5.395,0.611138,3.297092,1.341516
Dilithium2_run28,active,0.421366,5.3975,0.610602,3.295724,1.38353
Dilithium2_run28,active,0.434111,5.39625,0.613105,3.308469,1.425697
Dilithium2_run28,active,0.446853,5.39625,0.609529,3.289172,1.467609
Dilithium2_run28,active,0.459594,5.3975,0.609887,3.291864,1.509549
Dilithium2_run28,active,0.472336,5.39625,0.609887,3.291102,1.551486
Dilithium2_run28,active,0.485077,5.395,0.60935,3.287445,1.593372
Dilithium2_run28,active,0.497821,5.39625,0.610244,3.293031,1.635336
Dilithium2_run28,active,0.510568,5.3975,0.609529,3.289934,1.677273
Dilithium2_run28,active,0.523314,5.3975,0.608278,3.283178,1.71912
Dilithium2_run28,active,0.536056,5.3975,0.610066,3.292829,1.761079
Dilithium2_run28,active,0.548798,5.3975,0.611138,3.29862,1.803109
Dilithium2_run28,active,0.56154,5.3975,0.611854,3.30248,1.845188
Dilithium2_run28,active,0.574284,5.3975,0.61096,3.297654,1.887215
Dilithium2_run28,active,0.587026,5.39875,0.611138,3.299383,1.929255
Dilithium2_run28,active,0.599769,5.39875,0.610781,3.297453,1.971273
Dilithium2_run28,active,0.612516,5.39875,0.610781,3.297453,2.013308
Dilithium2_run28,active,0.625262,5.3975,0.610781,3.296689,2.055328
Dilithium2_run28,active,0.638008,5.3975,0.610244,3.293794,2.09731
Dilithium2_run28,active,0.65075,5.39625,0.609887,3.291102,2.139246
Dilithium2_run28,active,0.663522,5.39875,0.615608,3.323516,2.181692
Dilithium2_run28,active,0.676269,5.39625,0.610781,3.295926,2.223707
Dilithium2_run28,active,0.689013,5.3975,0.60935,3.288969,2.26562
Dilithium2_run28,active,0.701758,5.39875,0.611675,3.302279,2.307708
Dilithium2_run28,active,0.714507,5.39625,0.605596,3.267945,2.349371
Dilithium2_run28,active,0.727251,5.3975,0.60935,3.288969,2.391285
Dilithium2_run28,active,0.739993,5.39625,0.610423,3.293996,2.433259
Dilithium2_run28,active,0.752733,5.3975,0.614536,3.316956,2.475517
Dilithium2_run28,active,0.765474,5.39625,0.610244,3.293031,2.517472
Dilithium2_run28,active,0.778217,5.39625,0.610781,3.295926,2.559472
Dilithium2_run28,idle_post,0.791052,5.39875,0.468456,2.529077,2.55951
Dilithium2_run28,idle_post,0.803812,5.3975,0.442172,2.386626,2.589962
Dilithium2_run28,idle_post,0.816563,5.395,0.441815,2.383591,2.620356
Dilithium2_run28,idle_post,0.82931,5.39625,0.431981,2.331076,2.650071
Dilithium2_run28,idle_post,0.842052,5.3975,0.431266,2.327756,2.67973
Dilithium2_run28,idle_post,0.854792,5.39875,0.434842,2.347601,2.709639
Dilithium2_run28,idle_post,0.867526,5.39625,0.433232,2.33783,2.739409
Dilithium2_run28,idle_post,0.880261,5.3975,0.433411,2.339337,2.769201
Dilithium2_run28,idle_post,0.892993,5.4,0.432875,2.337524,2.798962
Dilithium2_run28,idle_post,0.905737,5.39625,0.433232,2.33783,2.828754
Dilithium2_run28,idle_post,0.918483,5.395,0.432875,2.33536,2.85852
Dilithium2_run28,idle_post,0.931222,5.3825,0.432875,2.329949,2.888202
Dilithium2_run28,idle_post,0.943958,5.39875,0.434126,2.34374,2.918052
Dilithium2_run28,idle_post,0.956692,5.39625,0.433232,2.33783,2.947823
Dilithium2_run28,idle_post,0.969428,5.395,0.432338,2.332466,2.977529
Dilithium2_run28,idle_post,0.982167,5.39625,0.433232,2.33783,3.00731
Dilithium2_run28,idle_post,0.994934,5.3975,0.433948,2.342232,3.037215
Dilithium2_run28,idle_post,1.007671,5.3975,0.433411,2.339337,3.067009
Dilithium2_run28,idle_post,1.02041,5.3975,0.433054,2.337407,3.096785
Dilithium2_run28,idle_post,1.033149,5.37875,0.435378,2.341789,3.126617
Dilithium2_run28,idle_post,1.045907,5.39875,0.433232,2.338913,3.156457
Dilithium2_run28,idle_post,1.058645,5.39875,0.432517,2.335052,3.186202
Dilithium2_run28,idle_post,1.07138,5.39625,0.433054,2.336865,3.215962
Dilithium2_run28,idle_post,1.08412,5.3975,0.433948,2.342232,3.245803
Dilithium2_run28,idle_post,1.096867,5.37625,0.432517,2.325321,3.275443
Dilithium2_run28,idle_post,1.109641,5.39625,0.433232,2.33783,3.305306
Dilithium2_run28,idle_post,1.122393,5.39875,0.430729,2.325399,3.33496
Dilithium2_run28,idle_post,1.135135,5.39625,0.432875,2.335901,3.364724
Dilithium2_run28,idle_post,1.147872,5.39625,0.432875,2.335901,3.394477
Dilithium2_run28,idle_post,1.160608,5.3975,0.432875,2.336442,3.424234
Dilithium2_run28,idle_post,1.173343,5.39625,0.430729,2.324322,3.453833
Dilithium2_run28,idle_post,1.186084,5.39875,0.433054,2.337948,3.483621
Dilithium2_run28,idle_post,1.198819,5.3975,0.432517,2.334512,3.513351
Dilithium2_run28,idle_post,1.211552,5.3975,0.431444,2.328721,3.543003
Dilithium2_run28,idle_post,1.224294,5.3975,0.43216,2.332581,3.572725
