run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
Falcon-512_run23,active,0.000637,5.3875,0.574663,3.095998,3.5e-05
Falcon-512_run23,active,0.013487,5.39875,0.526387,2.841833,0.036554
Falcon-512_run23,active,0.026242,5.3975,0.566438,3.057351,0.075551
Falcon-512_run23,active,0.038989,5.39375,0.570551,3.077408,0.114779
Falcon-512_run23,active,0.051762,5.39625,0.560717,3.025768,0.153426
Falcon-512_run23,active,0.064512,5.39375,0.538367,2.903816,0.190449
Falcon-512_run23,active,0.077255,5.39875,0.586285,3.165207,0.230784
Falcon-512_run23,active,0.09,5.4075,0.531751,2.875445,0.267433
Falcon-512_run23,active,0.102746,5.39875,0.58557,3.161346,0.307725
Falcon-512_run23,active,0.115486,5.37,0.554816,2.979364,0.345683
Falcon-512_run23,active,0.128226,5.39875,0.583067,3.147832,0.385787
Falcon-512_run23,active,0.140977,5.395,0.576272,3.10899,0.42543
Falcon-512_run23,active,0.153726,5.3975,0.566975,3.060246,0.464446
Falcon-512_run23,active,0.166494,5.3975,0.532466,2.873987,0.50114
Falcon-512_run23,active,0.179233,5.39875,0.536042,2.893959,0.538006
Falcon-512_run23,active,0.191972,5.39875,0.588073,3.17486,0.578451
Falcon-512_run23,active,0.204711,5.3975,0.558392,3.013923,0.616846
Falcon-512_run23,active,0.217454,5.39625,0.529606,2.857884,0.653262
Falcon-512_run23,active,0.230194,5.39625,0.585928,3.161812,0.693545
Falcon-512_run23,active,0.242942,5.3825,0.587,3.15953,0.733822
Falcon-512_run23,active,0.255721,5.3975,0.562147,3.03419,0.772597
Falcon-512_run23,active,0.268465,5.39625,0.576272,3.10971,0.812225
Falcon-512_run23,active,0.281208,5.39625,0.570551,3.078835,0.85146
Falcon-512_run23,active,0.29395,5.39625,0.576809,3.112604,0.891121
Falcon-512_run23,active,0.306695,5.39625,0.560359,3.023838,0.929658
Falcon-512_run23,active,0.319436,5.39375,0.527281,2.844023,0.965896
Falcon-512_run23,active,0.332176,5.3975,0.560002,3.022609,1.004404
Falcon-512_run23,active,0.344916,5.38375,0.570908,3.073628,1.043559
Falcon-512_run23,active,0.357664,5.3975,0.581458,3.138417,1.08357
Falcon-512_run23,active,0.370437,5.395,0.583961,3.150469,1.123811
Falcon-512_run23,active,0.383183,5.3975,0.565008,3.049631,1.16268
Falcon-512_run23,active,0.395925,5.3975,0.56769,3.064107,1.201723
Falcon-512_run23,active,0.408667,5.3975,0.587894,3.17316,1.242158
Falcon-512_run23,active,0.421412,5.39875,0.569299,3.073504,1.281328
Falcon-512_run23,active,0.434153,5.395,0.562684,3.035678,1.320006
Falcon-512_run23,active,0.446906,5.38125,0.538903,2.899973,1.35699
Falcon-512_run23,active,0.459651,5.395,0.584855,3.155292,1.397204
Falcon-512_run23,active,0.472394,5.39625,0.567511,3.062432,1.436227
Falcon-512_run23,active,0.485135,5.39625,0.580027,3.129972,1.476108
Falcon-512_run23,active,0.497876,5.395,0.559286,3.01735,1.514552
Falcon-512_run23,active,0.510619,5.39625,0.532109,2.871392,1.551142
Falcon-512_run23,active,0.523363,5.39625,0.550346,2.969807,1.588987
Falcon-512_run23,active,0.536103,5.4,0.587,3.169802,1.62937
Falcon-512_run23,active,0.548849,5.38,0.559108,3.007999,1.667713
Falcon-512_run23,active,0.561596,5.39625,0.587358,3.169531,1.708113
Falcon-512_run23,active,0.574337,5.39875,0.568763,3.070608,1.747237
Falcon-512_run23,active,0.587078,5.3975,0.559286,3.018748,1.785699
Falcon-512_run23,active,0.59982,5.39625,0.586106,3.162777,1.825998
Falcon-512_run23,active,0.612564,5.3975,0.562147,3.03419,1.864666
Falcon-512_run23,active,0.625305,5.3975,0.586464,3.165439,1.904996
Falcon-512_run23,active,0.638047,5.39875,0.567869,3.065782,1.944062
Falcon-512_run23,active,0.650799,5.3825,0.587179,3.160492,1.984363
Falcon-512_run23,active,0.663546,5.39375,0.560538,3.023402,2.022902
Falcon-512_run23,active,0.676325,5.39625,0.587,3.167601,2.063382
Falcon-512_run23,active,0.689073,5.39375,0.565187,3.048476,2.102243
Falcon-512_run23,active,0.701816,5.39875,0.52889,2.855347,2.138629
Falcon-512_run23,active,0.714561,5.395,0.587537,3.169761,2.179028
Falcon-512_run23,active,0.727301,5.395,0.573412,3.093556,2.218439
Falcon-512_run23,active,0.740039,5.39625,0.569478,3.073046,2.257584
Falcon-512_run23,active,0.752788,5.39625,0.584497,3.154093,2.297796
Falcon-512_run23,active,0.765536,5.3975,0.557141,3.007167,2.336131
Falcon-512_run23,active,0.778278,5.39625,0.585749,3.160847,2.376406
Falcon-512_run23,active,0.791021,5.39625,0.571445,3.083659,2.415702
