run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
ML-DSA-65_run14,active,0.000599,5.38875,0.563399,3.036015,3.7e-05
ML-DSA-65_run14,active,0.01346,5.39625,0.600947,3.242859,0.041744
ML-DSA-65_run14,active,0.02621,5.3975,0.603629,3.258086,0.083283
ML-DSA-65_run14,active,0.038954,5.39625,0.604344,3.261191,0.124845
ML-DSA-65_run14,active,0.051706,5.39625,0.598801,3.231281,0.16605
ML-DSA-65_run14,active,0.064452,5.40375,0.604165,3.264758,0.207661
ML-DSA-65_run14,active,0.077195,5.39625,0.596834,3.220668,0.248705
ML-DSA-65_run14,active,0.089934,5.4025,0.60041,3.243717,0.290025
ML-DSA-65_run14,active,0.102694,5.3925,0.596477,3.216501,0.331069
ML-DSA-65_run14,active,0.115437,5.39625,0.598086,3.227422,0.372195
ML-DSA-65_run14,active,0.12817,5.3975,0.602735,3.253261,0.413619
ML-DSA-65_run14,active,0.140927,5.39875,0.59755,3.226021,0.454772
ML-DSA-65_run14,active,0.153712,5.39875,0.601841,3.249188,0.496314
ML-DSA-65_run14,active,0.166452,5.3975,0.597192,3.223344,0.53738
ML-DSA-65_run14,active,0.179188,5.39625,0.600589,3.240929,0.578656
ML-DSA-65_run14,active,0.191923,5.3975,0.602377,3.251331,0.62006
ML-DSA-65_run14,active,0.20468,5.39125,0.601841,3.244674,0.661454
ML-DSA-65_run14,active,0.217424,5.3975,0.597907,3.227204,0.702581
ML-DSA-65_run14,active,0.23016,5.39875,0.597371,3.225056,0.743655
ML-DSA-65_run14,active,0.242902,5.3975,0.595225,3.212728,0.784593
ML-DSA-65_run14,active,0.255641,5.3975,0.597728,3.226239,0.82569
ML-DSA-65_run14,active,0.268377,5.39625,0.599338,3.234176,0.866881
ML-DSA-65_run14,active,0.281114,5.3975,0.604523,3.262912,0.908441
ML-DSA-65_run14,active,0.29385,5.39625,0.601662,3.246719,0.94979
ML-DSA-65_run14,active,0.306591,5.3975,0.599695,3.236855,0.991033
ML-DSA-65_run14,active,0.319335,5.39625,0.602914,3.253473,1.032493
ML-DSA-65_run14,active,0.332071,5.3975,0.60041,3.240715,1.073767
ML-DSA-65_run14,active,0.344827,5.39375,0.60041,3.238464,1.115079
ML-DSA-65_run14,active,0.357597,5.39625,0.60202,3.248648,1.156564
ML-DSA-65_run14,active,0.370359,5.39625,0.602198,3.249613,1.198034
ML-DSA-65_run14,active,0.383099,5.395,0.600053,3.237285,1.239278
ML-DSA-65_run14,active,0.395838,5.3975,0.602198,3.250366,1.280684
ML-DSA-65_run14,active,0.40858,5.39625,0.598265,3.228386,1.321822
ML-DSA-65_run14,active,0.421323,5.3975,0.604165,3.260982,1.363376
ML-DSA-65_run14,active,0.43406,5.39875,0.597728,3.226986,1.404477
ML-DSA-65_run14,active,0.446792,5.39625,0.59755,3.224527,1.445533
ML-DSA-65_run14,active,0.459528,5.3975,0.597907,3.227204,1.486634
ML-DSA-65_run14,active,0.472261,5.3975,0.598801,3.232029,1.527788
ML-DSA-65_run14,active,0.484996,5.39625,0.604165,3.260226,1.569306
ML-DSA-65_run14,active,0.49773,5.39875,0.609529,3.290696,1.611208
ML-DSA-65_run14,active,0.510469,5.39625,0.597371,3.223562,1.652276
ML-DSA-65_run14,active,0.523209,5.3975,0.607205,3.277388,1.694029
ML-DSA-65_run14,active,0.535941,5.395,0.599516,3.234391,1.735208
ML-DSA-65_run14,active,0.548676,5.395,0.600947,3.242108,1.776496
ML-DSA-65_run14,active,0.561409,5.39625,0.598265,3.228386,1.817605
ML-DSA-65_run14,active,0.574146,5.3975,0.601483,3.246506,1.858953
ML-DSA-65_run14,active,0.586878,5.3975,0.598086,3.228169,1.900057
ML-DSA-65_run14,active,0.599612,5.39875,0.598622,3.231813,1.941211
ML-DSA-65_run14,active,0.612352,5.395,0.598086,3.226674,1.982317
ML-DSA-65_run14,active,0.62509,5.4025,0.597371,3.227296,2.023425
ML-DSA-65_run14,active,0.637825,5.39875,0.598622,3.231813,2.064585
ML-DSA-65_run14,active,0.650557,5.3975,0.602914,3.254226,2.106015
ML-DSA-65_run14,active,0.663289,5.38875,0.60041,3.235462,2.147211
ML-DSA-65_run14,active,0.676023,5.39625,0.604523,3.262156,2.188752
ML-DSA-65_run14,active,0.688755,5.39625,0.598265,3.228386,2.229856
ML-DSA-65_run14,active,0.701489,5.39625,0.600053,3.238035,2.271089
ML-DSA-65_run14,active,0.714231,5.39125,0.60345,3.25335,2.312544
ML-DSA-65_run14,active,0.726967,5.39625,0.60041,3.239965,2.353805
ML-DSA-65_run14,active,0.7397,5.3975,0.602556,3.252296,2.395218
ML-DSA-65_run14,active,0.752433,5.39,0.598086,3.223684,2.436265
ML-DSA-65_run14,active,0.765168,5.39625,0.598444,3.229351,2.477391
ML-DSA-65_run14,active,0.777904,5.395,0.597907,3.225709,2.518473
ML-DSA-65_run14,active,0.790635,5.39625,0.603986,3.259262,2.559967
ML-DSA-65_run14,active,0.80337,5.395,0.605059,3.264294,2.601536
ML-DSA-65_run14,active,0.816107,5.395,0.603986,3.258507,2.643042
ML-DSA-65_run14,active,0.828847,5.39875,0.598265,3.229882,2.684191
ML-DSA-65_run14,active,0.841582,5.39625,0.597907,3.226457,2.725279
ML-DSA-65_run14,active,0.854314,5.39625,0.607026,3.275664,2.766985
ML-DSA-65_run14,active,0.867047,5.3975,0.599695,3.236855,2.808199
ML-DSA-65_run14,active,0.87978,5.39625,0.598086,3.227422,2.849294
ML-DSA-65_run14,active,0.892514,5.3975,0.600947,3.24361,2.890598
ML-DSA-65_run14,active,0.905248,5.39875,0.598801,3.232778,2.931766
ML-DSA-65_run14,active,0.91799,5.3975,0.60345,3.257121,2.973267
ML-DSA-65_run14,active,0.930725,5.395,0.59755,3.22378,3.014323
ML-DSA-65_run14,active,0.943461,5.39875,0.606311,3.27332,3.05601
ML-DSA-65_run14,active,0.956192,5.3825,0.603092,3.246145,3.097338
ML-DSA-65_run14,active,0.968941,5.395,0.603629,3.256577,3.138855
ML-DSA-65_run14,active,0.981683,5.395,0.605417,3.266224,3.180473
ML-DSA-65_run14,active,0.994416,5.3975,0.602198,3.250366,3.22186
ML-DSA-65_run14,active,1.007153,5.395,0.604165,3.259471,3.263375
ML-DSA-65_run14,active,1.019893,5.39375,0.601126,3.242321,3.304685
ML-DSA-65_run14,active,1.032633,5.39625,0.603092,3.254437,3.346146
ML-DSA-65_run14,active,1.04537,5.395,0.603271,3.254648,3.387599
ML-DSA-65_run14,active,1.058106,5.3825,0.598086,3.219198,3.428599
ML-DSA-65_run14,active,1.070838,5.3975,0.605238,3.266772,3.470191
ML-DSA-65_run14,active,1.083615,5.39875,0.603986,3.260772,3.511856
ML-DSA-65_run14,active,1.096349,5.3975,0.605238,3.266772,3.553455
ML-DSA-65_run14,active,1.109083,5.39875,0.603092,3.255945,3.594914
ML-DSA-65_run14,active,1.121826,5.39875,0.601841,3.249188,3.636318
ML-DSA-65_run14,active,1.134581,5.39375,0.597013,3.22014,3.677392
ML-DSA-65_run14,active,1.147359,5.39875,0.601841,3.249188,3.718912
ML-DSA-65_run14,active,1.1601,5.385,0.599874,3.230321,3.760068
ML-DSA-65_run14,active,1.172835,5.39375,0.605596,3.266431,3.801665
ML-DSA-65_run14,active,1.185573,5.3975,0.604165,3.260982,3.843206
ML-DSA-65_run14,active,1.198327,5.3975,0.597907,3.227204,3.884364
ML-DSA-65_run14,active,1.211228,5.395,0.599874,3.23632,3.926116
ML-DSA-65_run14,active,1.224103,5.39,0.601126,3.240067,3.967833
ML-DSA-65_run14,active,1.236857,5.38625,0.599338,3.228182,4.009004
ML-DSA-65_run14,active,1.249315,5.3875,0.603986,3.253977,4.049542
ML-DSA-65_run14,active,1.261752,5.37,0.596834,3.205001,4.089403
ML-DSA-65_run14,active,1.276297,5.38875,0.598086,3.222936,4.13628
ML-DSA-65_run14,active,1.288745,5.38625,0.600589,3.234924,4.176548
ML-DSA-65_run14,active,1.301181,5.38875,0.60345,3.251841,4.216987
ML-DSA-65_run14,active,1.313616,5.39125,0.598622,3.227323,4.25712
ML-DSA-65_run14,active,1.326058,5.3875,0.602198,3.244344,4.297488
ML-DSA-65_run14,active,1.338502,5.39625,0.603986,3.259262,4.338045
ML-DSA-65_run14,active,1.351242,5.3975,0.597728,3.226239,4.379148
ML-DSA-65_run14,active,1.363979,5.3825,0.60488,3.255769,4.420615
ML-DSA-65_run14,active,1.376711,5.3975,0.604702,3.263877,4.46217
ML-DSA-65_run14,active,1.389455,5.3975,0.597728,3.226239,4.503288
ML-DSA-65_run14,active,1.402193,5.39625,0.597013,3.221632,4.544324
ML-DSA-65_run14,active,1.414928,5.3975,0.60488,3.264842,4.585901
ML-DSA-65_run14,active,1.42767,5.39625,0.604523,3.262156,4.627467
ML-DSA-65_run14,active,1.440409,5.39625,0.604165,3.260226,4.668999
ML-DSA-65_run14,active,1.453144,5.3925,0.602377,3.248319,4.710368
ML-DSA-65_run14,active,1.46588,5.395,0.601304,3.244037,4.751684
ML-DSA-65_run14,active,1.478613,5.39875,0.603629,3.258841,4.793178
ML-DSA-65_run14,active,1.491349,5.39625,0.606668,3.273734,4.834872
ML-DSA-65_run14,active,1.504083,5.3975,0.595404,3.213693,4.875795
ML-DSA-65_run14,active,1.516816,5.39375,0.603271,3.253894,4.917227
ML-DSA-65_run14,active,1.529558,5.39375,0.599874,3.23557,4.958456
ML-DSA-65_run14,active,1.542326,5.39625,0.603271,3.255402,5.000022
ML-DSA-65_run14,active,1.555062,5.39875,0.600947,3.244362,5.041341
ML-DSA-65_run14,active,1.567796,5.3975,0.599516,3.23589,5.082547
