run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
SPHINCS+-SHA2-128f-simple_run19,active,0.000512,5.395,0.586464,3.163973,3.4e-05
SPHINCS+-SHA2-128f-simple_run19,active,0.013372,5.39625,0.595046,3.211019,0.041328
SPHINCS+-SHA2-128f-simple_run19,active,0.026135,5.3975,0.592901,3.200182,0.08217
SPHINCS+-SHA2-128f-simple_run19,active,0.038883,5.39625,0.592722,3.198476,0.122946
SPHINCS+-SHA2-128f-simple_run19,active,0.051626,5.39625,0.592722,3.198476,0.163704
SPHINCS+-SHA2-128f-simple_run19,active,0.064377,5.39375,0.599159,3.231713,0.204912
SPHINCS+-SHA2-128f-simple_run19,active,0.077122,5.39625,0.601304,3.244789,0.246265
SPHINCS+-SHA2-128f-simple_run19,active,0.089864,5.395,0.59594,3.215098,0.287233
SPHINCS+-SHA2-128f-simple_run19,active,0.102625,5.39875,0.595583,3.215403,0.328266
SPHINCS+-SHA2-128f-simple_run19,active,0.115373,5.3975,0.595225,3.212728,0.36922
SPHINCS+-SHA2-128f-simple_run19,active,0.128114,5.39625,0.595046,3.211019,0.410131
SPHINCS+-SHA2-128f-simple_run19,active,0.140857,5.3975,0.595404,3.213693,0.451085
SPHINCS+-SHA2-128f-simple_run19,active,0.153596,5.4,0.595225,3.214216,0.492031
SPHINCS+-SHA2-128f-simple_run19,active,0.166336,5.3975,0.595225,3.212728,0.532962
SPHINCS+-SHA2-128f-simple_run19,active,0.179078,5.3975,0.594331,3.207903,0.573835
SPHINCS+-SHA2-128f-simple_run19,active,0.191819,5.3975,0.597013,3.222379,0.614891
SPHINCS+-SHA2-128f-simple_run19,active,0.204579,5.39625,0.595583,3.213914,0.6559
SPHINCS+-SHA2-128f-simple_run19,active,0.217324,5.39625,0.595225,3.211984,0.696839
SPHINCS+-SHA2-128f-simple_run19,active,0.230064,5.39625,0.595046,3.211019,0.737747
SPHINCS+-SHA2-128f-simple_run19,active,0.242802,5.3975,0.600589,3.24168,0.779038
SPHINCS+-SHA2-128f-simple_run19,active,0.255543,5.39625,0.595404,3.212949,0.819974
SPHINCS+-SHA2-128f-simple_run19,active,0.268285,5.4,0.594868,3.212285,0.860906
SPHINCS+-SHA2-128f-simple_run19,active,0.281027,5.3975,0.596119,3.217553,0.901904
SPHINCS+-SHA2-128f-simple_run19,active,0.293767,5.3975,0.603092,3.255191,0.943375
SPHINCS+-SHA2-128f-simple_run19,active,0.306513,5.39625,0.596119,3.216808,0.984377
SPHINCS+-SHA2-128f-simple_run19,active,0.319261,5.395,0.59594,3.215098,1.025363
SPHINCS+-SHA2-128f-simple_run19,active,0.332002,5.38,0.593437,3.192692,1.066041
SPHINCS+-SHA2-128f-simple_run19,active,0.344746,5.3975,0.59755,3.225274,1.107143
SPHINCS+-SHA2-128f-simple_run19,active,0.35749,5.39625,0.594868,3.210054,1.148052
SPHINCS+-SHA2-128f-simple_run19,active,0.370229,5.39875,0.595046,3.212507,1.188977
SPHINCS+-SHA2-128f-simple_run19,active,0.382972,5.39375,0.596119,3.215318,1.229949
SPHINCS+-SHA2-128f-simple_run19,active,0.395713,5.39625,0.595583,3.213914,1.270898
SPHINCS+-SHA2-128f-simple_run19,active,0.408463,5.3975,0.595225,3.212728,1.31186
SPHINCS+-SHA2-128f-simple_run19,active,0.42121,5.39875,0.595583,3.215403,1.352848
SPHINCS+-SHA2-128f-simple_run19,active,0.433953,5.4,0.595583,3.216147,1.39383
SPHINCS+-SHA2-128f-simple_run19,active,0.446694,5.39875,0.595225,3.213472,1.434773
SPHINCS+-SHA2-128f-simple_run19,active,0.459435,5.39625,0.598265,3.228386,1.475907
SPHINCS+-SHA2-128f-simple_run19,active,0.472179,5.39875,0.595225,3.213472,1.516858
SPHINCS+-SHA2-128f-simple_run19,active,0.484921,5.39625,0.595046,3.211019,1.557774
SPHINCS+-SHA2-128f-simple_run19,active,0.497659,5.3975,0.595225,3.212728,1.598697
SPHINCS+-SHA2-128f-simple_run19,active,0.510406,5.3975,0.59594,3.216588,1.6397
SPHINCS+-SHA2-128f-simple_run19,active,0.523154,5.3975,0.595046,3.211763,1.680642
SPHINCS+-SHA2-128f-simple_run19,active,0.535894,5.39625,0.599695,3.236105,1.721872
SPHINCS+-SHA2-128f-simple_run19,active,0.548638,5.39625,0.59451,3.208125,1.762755
