algorithm,run_id,repetition,runtime_s,latency_ms
Classic-McEliece-348864,Classic-McEliece-348864_run01,1,400.857012,400.857012
Classic-McEliece-348864,Classic-McEliece-348864_run02,2,400.419043,400.419043
Classic-McEliece-348864,Classic-McEliece-348864_run03,3,394.731949,394.731949
Classic-McEliece-348864,Classic-McEliece-348864_run04,4,391.418319,391.418319
Classic-McEliece-348864,Classic-McEliece-348864_run05,5,391.818574,391.818574
Classic-McEliece-348864,Classic-McEliece-348864_run06,6,396.004184,396.004184
Classic-McEliece-348864,Classic-McEliece-348864_run07,7,412.383986,412.383986
Classic-McEliece-348864,Classic-McEliece-348864_run08,8,405.334607,405.334607
Classic-McEliece-348864,Classic-McEliece-348864_run09,9,397.256816,397.256816
Classic-McEliece-348864,Classic-McEliece-348864_run10,10,394.599395,394.599395
Classic-McEliece-348864,Classic-McEliece-348864_run11,11,397.586086,397.586086
Classic-McEliece-348864,Classic-McEliece-348864_run12,12,390.809867,390.809867
Classic-McEliece-348864,Classic-McEliece-348864_run13,13,401.675631,401.675631
Classic-McEliece-348864,Classic-McEliece-348864_run14,14,392.223364,392.223364
Classic-McEliece-348864,Classic-McEliece-348864_run15,15,388.561627,388.561627
Classic-McEliece-348864,Classic-McEliece-348864_run16,16,401.95865,401.95865
Classic-McEliece-348864,Classic-McEliece-348864_run17,17,407.038419,407.038419
Classic-McEliece-348864,Classic-McEliece-348864_run18,18,398.649961,398.649961
Classic-McEliece-348864,Classic-McEliece-348864_run19,19,401.247171,401.247171
Classic-McEliece-348864,Classic-McEliece-348864_run20,20,390.479687,390.479687
Classic-McEliece-348864,Classic-McEliece-348864_run21,21,389.884793,389.884793
Classic-McEliece-348864,Classic-McEliece-348864_run22,22,408.718011,408.718011
Classic-McEliece-348864,Classic-McEliece-348864_run23,23,384.868883,384.868883
Classic-McEliece-348864,Classic-McEliece-348864_run24,24,391.527208,391.527208
Classic-McEliece-348864,Classic-McEliece-348864_run25,25,397.237234,397.237234
Classic-McEliece-348864,Classic-McEliece-348864_run26,26,397.246785,397.246785
Classic-McEliece-348864,Classic-McEliece-348864_run27,27,392.322338,392.322338
Classic-McEliece-348864,Classic-McEliece-348864_run28,28,410.890473,410.890473
Classic-McEliece-348864,Classic-McEliece-348864_run29,29,392.150635,392.150635
Classic-McEliece-348864,Classic-McEliece-348864_run30,30,386.806866,386.806866

