algorithm,run_id,repetition,runtime_s,latency_ms
FrodoKEM-640-AES,FrodoKEM-640-AES_run01,1,46.866358,46.866358
FrodoKEM-640-AES,FrodoKEM-640-AES_run02,2,46.955402,46.955402
FrodoKEM-640-AES,FrodoKEM-640-AES_run03,3,46.935519,46.935519
FrodoKEM-640-AES,FrodoKEM-640-AES_run04,4,46.969622,46.969622
FrodoKEM-640-AES,FrodoKEM-640-AES_run05,5,47.048358,47.048358
FrodoKEM-640-AES,FrodoKEM-640-AES_run06,6,46.991252,46.991252
FrodoKEM-640-AES,FrodoKEM-640-AES_run07,7,46.852658,46.852658
FrodoKEM-640-AES,FrodoKEM-640-AES_run08,8,46.946702,46.946702
FrodoKEM-640-AES,FrodoKEM-640-AES_run09,9,46.922002,46.922002
FrodoKEM-640-AES,FrodoKEM-640-AES_run10,10,46.926239,46.926239
FrodoKEM-640-AES,FrodoKEM-640-AES_run11,11,46.866756,46.866756
FrodoKEM-640-AES,FrodoKEM-640-AES_run12,12,46.856535,46.856535
FrodoKEM-640-AES,FrodoKEM-640-AES_run13,13,46.922241,46.922241
FrodoKEM-640-AES,FrodoKEM-640-AES_run14,14,46.997812,46.997812
FrodoKEM-640-AES,FrodoKEM-640-AES_run15,15,47.105573,47.105573
FrodoKEM-640-AES,FrodoKEM-640-AES_run16,16,46.886067,46.886067
FrodoKEM-640-AES,FrodoKEM-640-AES_run17,17,47.021434,47.021434
FrodoKEM-640-AES,FrodoKEM-640-AES_run18,18,46.888554,46.888554
FrodoKEM-640-AES,FrodoKEM-640-AES_run19,19,46.870199,46.870199
FrodoKEM-640-AES,FrodoKEM-640-AES_run20,20,46.95617,46.95617
FrodoKEM-640-AES,FrodoKEM-640-AES_run21,21,46.935892,46.935892
FrodoKEM-640-AES,FrodoKEM-640-AES_run22,22,46.882037,46.882037
FrodoKEM-640-AES,FrodoKEM-640-AES_run23,23,47.060667,47.060667
FrodoKEM-640-AES,FrodoKEM-640-AES_run24,24,47.064272,47.064272
FrodoKEM-640-AES,FrodoKEM-640-AES_run25,25,47.136422,47.136422
FrodoKEM-640-AES,FrodoKEM-640-AES_run26,26,47.021582,47.021582
FrodoKEM-640-AES,FrodoKEM-640-AES_run27,27,46.858933,46.858933
FrodoKEM-640-AES,FrodoKEM-640-AES_run28,28,47.044878,47.044878
FrodoKEM-640-AES,FrodoKEM-640-AES_run29,29,47.239362,47.239362
FrodoKEM-640-AES,FrodoKEM-640-AES_run30,30,46.919886,46.919886
