algorithm,run_id,repetition,runtime_s,latency_ms
Kyber512,Kyber512_run01,1,0.138971,0.138971
Kyber512,Kyber512_run02,2,0.136797,0.136797
Kyber512,Kyber512_run03,3,0.137359,0.137359
Kyber512,Kyber512_run04,4,0.137384,0.137384
Kyber512,Kyber512_run05,5,0.136924,0.136924
Kyber512,Kyber512_run06,6,0.137201,0.137201
Kyber512,Kyber512_run07,7,0.137853,0.137853
Kyber512,Kyber512_run08,8,0.137329,0.137329
Kyber512,Kyber512_run09,9,0.136885,0.136885
Kyber512,Kyber512_run10,10,0.136773,0.136773
Kyber512,Kyber512_run11,11,0.137358,0.137358
Kyber512,Kyber512_run12,12,0.136898,0.136898
Kyber512,Kyber512_run13,13,0.136639,0.136639
Kyber512,Kyber512_run14,14,0.13694,0.13694
Kyber512,Kyber512_run15,15,0.137035,0.137035
Kyber512,Kyber512_run16,16,0.137144,0.137144
Kyber512,Kyber512_run17,17,0.136864,0.136864
Kyber512,Kyber512_run18,18,0.137521,0.137521
Kyber512,Kyber512_run19,19,0.137546,0.137546
Kyber512,Kyber512_run20,20,0.138675,0.138675
Kyber512,Kyber512_run21,21,0.137042,0.137042
Kyber512,Kyber512_run22,22,0.137279,0.137279
Kyber512,Kyber512_run23,23,0.137714,0.137714
Kyber512,Kyber512_run24,24,0.137886,0.137886
Kyber512,Kyber512_run25,25,0.137386,0.137386
Kyber512,Kyber512_run26,26,0.137167,0.137167
Kyber512,Kyber512_run27,27,0.138069,0.138069
Kyber512,Kyber512_run28,28,0.137109,0.137109
Kyber512,Kyber512_run29,29,0.137217,0.137217
Kyber512,Kyber512_run30,30,0.136667,0.136667
