algorithm,run_id,repetition,runtime_s,latency_ms
ML-KEM-512,ML-KEM-512_run01,1,0.131677,0.131677
ML-KEM-512,ML-KEM-512_run02,2,0.1318,0.1318
ML-KEM-512,ML-KEM-512_run03,3,0.132002,0.132002
ML-KEM-512,ML-KEM-512_run04,4,0.132722,0.132722
ML-KEM-512,ML-KEM-512_run05,5,0.132573,0.132573
ML-KEM-512,ML-KEM-512_run06,6,0.131605,0.131605
ML-KEM-512,ML-KEM-512_run07,7,0.132136,0.132136
ML-KEM-512,ML-KEM-512_run08,8,0.131739,0.131739
ML-KEM-512,ML-KEM-512_run09,9,0.131754,0.131754
ML-KEM-512,ML-KEM-512_run10,10,0.131871,0.131871
ML-KEM-512,ML-KEM-512_run11,11,0.131638,0.131638
ML-KEM-512,ML-KEM-512_run12,12,0.132559,0.132559
ML-KEM-512,ML-KEM-512_run13,13,0.131855,0.131855
ML-KEM-512,ML-KEM-512_run14,14,0.132578,0.132578
ML-KEM-512,ML-KEM-512_run15,15,0.131818,0.131818
ML-KEM-512,ML-KEM-512_run16,16,0.132119,0.132119
ML-KEM-512,ML-KEM-512_run17,17,0.131825,0.131825
ML-KEM-512,ML-KEM-512_run18,18,0.131729,0.131729
ML-KEM-512,ML-KEM-512_run19,19,0.131974,0.131974
ML-KEM-512,ML-KEM-512_run20,20,0.131816,0.131816
ML-KEM-512,ML-KEM-512_run21,21,0.132597,0.132597
ML-KEM-512,ML-KEM-512_run22,22,0.132226,0.132226
ML-KEM-512,ML-KEM-512_run23,23,0.131356,0.131356
ML-KEM-512,ML-KEM-512_run24,24,0.131894,0.131894
ML-KEM-512,ML-KEM-512_run25,25,0.131835,0.131835
ML-KEM-512,ML-KEM-512_run26,26,0.132626,0.132626
ML-KEM-512,ML-KEM-512_run27,27,0.13289,0.13289
ML-KEM-512,ML-KEM-512_run28,28,0.132516,0.132516
ML-KEM-512,ML-KEM-512_run29,29,0.131948,0.131948
ML-KEM-512,ML-KEM-512_run30,30,0.132056,0.132056
