algorithm,run_id,repetition,runtime_s,latency_ms
SNTRUP761,SNTRUP761_run01,1,15.206908,15.206908
SNTRUP761,SNTRUP761_run02,2,15.336538,15.336538
SNTRUP761,SNTRUP761_run03,3,15.316573,15.316573
SNTRUP761,SNTRUP761_run04,4,15.354267,15.354267
SNTRUP761,SNTRUP761_run05,5,15.251285,15.251285
SNTRUP761,SNTRUP761_run06,6,15.249921,15.249921
SNTRUP761,SNTRUP761_run07,7,15.251078,15.251078
SNTRUP761,SNTRUP761_run08,8,15.334256,15.334256
SNTRUP761,SNTRUP761_run09,9,15.368795,15.368795
SNTRUP761,SNTRUP761_run10,10,15.317028,15.317028
SNTRUP761,SNTRUP761_run11,11,15.335188,15.335188
SNTRUP761,SNTRUP761_run12,12,15.205819,15.205819
SNTRUP761,SNTRUP761_run13,13,15.318165,15.318165
SNTRUP761,SNTRUP761_run14,14,15.208295,15.208295
SNTRUP761,SNTRUP761_run15,15,15.373723,15.373723
SNTRUP761,SNTRUP761_run16,16,15.2061,15.2061
SNTRUP761,SNTRUP761_run17,17,15.207118,15.207118
SNTRUP761,SNTRUP761_run18,18,15.206429,15.206429
SNTRUP761,SNTRUP761_run19,19,15.316598,15.316598
SNTRUP761,SNTRUP761_run20,20,15.334546,15.334546
SNTRUP761,SNTRUP761_run21,21,15.317276,15.317276
SNTRUP761,SNTRUP761_run22,22,15.250325,15.250325
SNTRUP761,SNTRUP761_run23,23,15.317515,15.317515
SNTRUP761,SNTRUP761_run24,24,15.206846,15.206846
SNTRUP761,SNTRUP761_run25,25,15.2076,15.2076
SNTRUP761,SNTRUP761_run26,26,15.335651,15.335651
SNTRUP761,SNTRUP761_run27,27,15.381146,15.381146
SNTRUP761,SNTRUP761_run28,28,15.317095,15.317095
SNTRUP761,SNTRUP761_run29,29,15.374382,15.374382
SNTRUP761,SNTRUP761_run30,30,15.33526,15.33526
