algorithm,run_id,repetition,runtime_s,latency_ms
Dilithium2,Dilithium2_run01,1,0.783516,0.783516
Dilithium2,Dilithium2_run02,2,0.796193,0.796193
Dilithium2,Dilithium2_run03,3,0.847503,0.847503
Dilithium2,Dilithium2_run04,4,0.795366,0.795366
Dilithium2,Dilithium2_run05,5,0.848007,0.848007
Dilithium2,Dilithium2_run06,6,0.776988,0.776988
Dilithium2,Dilithium2_run07,7,0.833766,0.833766
Dilithium2,Dilithium2_run08,8,0.776762,0.776762
Dilithium2,Dilithium2_run09,9,0.853954,0.853954
Dilithium2,Dilithium2_run10,10,0.78536,0.78536
Dilithium2,Dilithium2_run11,11,0.845084,0.845084
Dilithium2,Dilithium2_run12,12,0.797794,0.797794
Dilithium2,Dilithium2_run13,13,0.842852,0.842852
Dilithium2,Dilithium2_run14,14,0.800601,0.800601
Dilithium2,Dilithium2_run15,15,0.866149,0.866149
Dilithium2,Dilithium2_run16,16,0.785033,0.785033
Dilithium2,Dilithium2_run17,17,0.842928,0.842928
Dilithium2,Dilithium2_run18,18,0.782509,0.782509
Dilithium2,Dilithium2_run19,19,0.86746,0.86746
Dilithium2,Dilithium2_run20,20,0.782628,0.782628
Dilithium2,Dilithium2_run21,21,0.814323,0.814323
Dilithium2,Dilithium2_run22,22,0.800309,0.800309
Dilithium2,Dilithium2_run23,23,0.861322,0.861322
Dilithium2,Dilithium2_run24,24,0.795334,0.795334
Dilithium2,Dilithium2_run25,25,0.860664,0.860664
Dilithium2,Dilithium2_run26,26,0.788993,0.788993
Dilithium2,Dilithium2_run27,27,0.845563,0.845563
Dilithium2,Dilithium2_run28,28,0.78844,0.78844
Dilithium2,Dilithium2_run29,29,0.846878,0.846878
Dilithium2,Dilithium2_run30,30,0.794307,0.794307
