algorithm,run_id,repetition,runtime_s,latency_ms
Falcon-512,Falcon-512_run01,1,19.771404,19.771404
Falcon-512,Falcon-512_run02,2,19.829677,19.829677
Falcon-512,Falcon-512_run03,3,19.480585,19.480585
Falcon-512,Falcon-512_run04,4,19.884561,19.884561
Falcon-512,Falcon-512_run05,5,19.872976,19.872976
Falcon-512,Falcon-512_run06,6,19.778227,19.778227
Falcon-512,Falcon-512_run07,7,19.773961,19.773961
Falcon-512,Falcon-512_run08,8,19.7141,19.7141
Falcon-512,Falcon-512_run09,9,19.86895,19.86895
Falcon-512,Falcon-512_run10,10,19.87325,19.87325
Falcon-512,Falcon-512_run11,11,19.757824,19.757824
Falcon-512,Falcon-512_run12,12,19.958909,19.958909
Falcon-512,Falcon-512_run13,13,19.945319,19.945319
Falcon-512,Falcon-512_run14,14,20.145562,20.145562
Falcon-512,Falcon-512_run15,15,19.946469,19.946469
Falcon-512,Falcon-512_run16,16,19.976697,19.976697
Falcon-512,Falcon-512_run17,17,20.173258,20.173258
Falcon-512,Falcon-512_run18,18,20.142832,20.142832
Falcon-512,Falcon-512_run19,19,19.966692,19.966692
Falcon-512,Falcon-512_run20,20,19.650825,19.650825
Falcon-512,Falcon-512_run21,21,19.852794,19.852794
Falcon-512,Falcon-512_run22,22,19.872396,19.872396
Falcon-512,Falcon-512_run23,23,19.651451,19.651451
Falcon-512,Falcon-512_run24,24,19.735584,19.735584
Falcon-512,Falcon-512_run25,25,19.888466,19.888466
Falcon-512,Falcon-512_run26,26,20.197585,20.197585
Falcon-512,Falcon-512_run27,27,19.9986,19.9986
Falcon-512,Falcon-512_run28,28,19.99213,19.99213
Falcon-512,Falcon-512_run29,29,19.965297,19.965297
Falcon-512,Falcon-512_run30,30,19.704349,19.704349
