algorithm,run_id,repetition,runtime_s,latency_ms
ML-DSA-65,ML-DSA-65_run01,1,2.418901,2.418901
ML-DSA-65,ML-DSA-65_run02,2,2.373942,2.373942
ML-DSA-65,ML-DSA-65_run03,3,2.383045,2.383045
ML-DSA-65,ML-DSA-65_run04,4,2.37294,2.37294
ML-DSA-65,ML-DSA-65_run05,5,2.40855,2.40855
ML-DSA-65,ML-DSA-65_run06,6,2.444565,2.444565
ML-DSA-65,ML-DSA-65_run07,7,2.426421,2.426421
ML-DSA-65,ML-DSA-65_run08,8,2.396679,2.396679
ML-DSA-65,ML-DSA-65_run09,9,2.369245,2.369245
ML-DSA-65,ML-DSA-65_run10,10,2.444748,2.444748
ML-DSA-65,ML-DSA-65_run11,11,2.393981,2.393981
ML-DSA-65,ML-DSA-65_run12,12,2.439093,2.439093
ML-DSA-65,ML-DSA-65_run13,13,2.338929,2.338929
ML-DSA-65,ML-DSA-65_run14,14,2.348615,2.348615
ML-DSA-65,ML-DSA-65_run15,15,2.402768,2.402768
ML-DSA-65,ML-DSA-65_run16,16,2.364973,2.364973
ML-DSA-65,ML-DSA-65_run17,17,2.358944,2.358944
ML-DSA-65,ML-DSA-65_run18,18,2.396894,2.396894
ML-DSA-65,ML-DSA-65_run19,19,2.452044,2.452044
ML-DSA-65,ML-DSA-65_run20,20,2.397042,2.397042
ML-DSA-65,ML-DSA-65_run21,21,2.284099,2.284099
ML-DSA-65,ML-DSA-65_run22,22,2.413877,2.413877
ML-DSA-65,ML-DSA-65_run23,23,2.422964,2.422964
ML-DSA-65,ML-DSA-65_run24,24,2.421649,2.421649
ML-DSA-65,ML-DSA-65_run25,25,2.409016,2.409016
ML-DSA-65,ML-DSA-65_run26,26,2.348291,2.348291
ML-DSA-65,ML-DSA-65_run27,27,2.36315,2.36315
ML-DSA-65,ML-DSA-65_run28,28,2.326116,2.326116
ML-DSA-65,ML-DSA-65_run29,29,2.421194,2.421194
ML-DSA-65,ML-DSA-65_run30,30,2.439522,2.439522
