algorithm,run_id,repetition,runtime_s,latency_ms
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run01,1,74.925963,74.925963
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run02,2,74.983693,74.983693
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run03,3,74.885831,74.885831
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run04,4,77.742094,77.742094
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run05,5,75.046956,75.046956
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run06,6,74.693227,74.693227
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run07,7,75.13143,75.13143
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run08,8,75.0775,75.0775
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run09,9,75.374031,75.374031
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run10,10,75.039789,75.039789
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run11,11,75.134902,75.134902
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run12,12,74.995017,74.995017
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run13,13,74.871633,74.871633
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run14,14,75.097002,75.097002
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run15,15,74.995786,74.995786
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run16,16,75.014166,75.014166
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run17,17,74.997762,74.997762
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run18,18,75.17098,75.17098
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run19,19,75.275497,75.275497
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run20,20,74.818702,74.818702
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run21,21,76.297759,76.297759
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run22,22,74.979898,74.979898
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run23,23,75.023297,75.023297
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run24,24,74.967655,74.967655
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run25,25,75.018716,75.018716
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run26,26,75.056205,75.056205
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run27,27,74.899683,74.899683
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run28,28,74.919401,74.919401
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run29,29,74.858862,74.858862
SPHINCS+-SHA2-128f-simple,SPHINCS+-SHA2-128f-simple_run30,30,75.073606,75.073606
